__id__,__filename__,text,,
0,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"A middle school student asked us, ""Why does the pattern . . . 70, 80, 90, 100, go to 110, 120, and not . . . 70, 80, 90, 100, 200, 300?"" We understand her thinking, but how do we use her reasoning to deepen her mathematical understanding? We found that inductive reasoning using patterns to be an excellent method of learning mathematical connections. But for students to deepen their understanding and correctly use their inductive reasoning, experiencing cognitive dissonance in these mathematical patterns tasks is important, especially for middle-grades students.",,
1,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,The IMPORTANCE OF INDUCTIVE REASONING,,
2,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"Although discussions about inductive reasoning can be traced back thousands of years (Fitelson 2011), the implementation of the Standards for Mathematical Practice (SMP) within the Common Core State Standards (CCSSI 2010) is generating renewed attention to how students learn mathematics. The third SMP, ""Construct viable arguments and critique the reasoning of others"" (CCSSI 2010, p. 6), explicitly calls for mathematically proficient students to be able to reason inductively and be able to judge the validity of their conclusions. NCTM (2000, p. 16) also emphasizes that middle school students should be ""proficient in using inductive and deductive reasoning appropriately."" The development of these reasoning skills can help promote students' conceptual understanding, linking conceptual knowledge and procedural knowledge (Hiebert and Lefevre 1996; NCTM 2000). Hence, to align with national standards and promote conceptual understanding, middle school mathematics educators should provide ample opportunities for students to engage in inductive reasoning activities that can build to deductive reasoning.",,
3,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"The series of tasks that we propose encourages students to reason inductively and uses problem solving with multiple representations, supported by current mathematics education standards (CCSSI 2010; NCTM 2000). Because the tasks are undergirded by science education inquiry, these tasks support recent STEM literacy initiatives, as well (Zollman 2012).",,
4,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,DIFFERENCES BETWEEN INDUCTIVE AND DEDUCTIVE REASONING,,
5,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"Inductive reasoning, which Baroody, Reid, and Purpura (2012) also refer to as ""empirical induction, entails examining examples (particulars) and discerning a commonality or pattern (discovering a generality)"" (p. 4). Suppose you ask your students to find the parity of the sum of any two odd numbers. An example of inductive reasoning would be if, after students have observed from a few examples that the result is always even, they determine the generalization that the sum will always be even. Inductive reasoning here should not be confused with the mathematical proof by induction that proves a claim by an infinite iterating procedure.",,
6,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"Deductive reasoning ""involves reasoning from a premise or premises assumed to be true (a generality or generalities) to logically arrive at a conclusion about a particular case"" (Baroody, Reid, and Purpura 2012, p. 4). A common application in the middle school mathematics classroom is when the teacher presents a rule or generalization, such as the formula for the area of a circle, and then students use this formula to find the area of various objects that have circular parts.",,
7,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,THE PROBLEM AND A POSSIBLE SOLUTION: THE INQUIRY CONTINUUM,,
8,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"For some of our middle school students, generalizing through inductive reasoning is unattainable. Why? According to cognitive load theory (Kirschner, Sweller, and Clark 2006), some students' working memories may become overburdened. These students may find it difficult to generalize because they have not yet acquired a sufficient knowledge base of relevant mathematical content. For the teacher, this means providing more guidance up front and then fading the guidance during problem solving. To accomplish this, Banchi and Bell's (2008) Inquiry Continuum (see 
  fig. 1

  ) for science educators can offer direction to mathematics educators as they design tasks that will provide students with sufficient prior knowledge before they reason inductively.",,
9,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,APPLICATION FOR THE MATHEMATICS CLASSROOM,,
10,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"Through the lens of this continuum, mathematics educators can design tasks at differentiated levels of inquiry so that students receive sufficient guidance in the beginning before being asked to develop a valid generalization. As an illustration, we present a suggested sequence of four related tasks to correlate with the four levels of inquiry using an adaptation of Speer's (2011) Geoboard Segment problem (see 
  fig. 2

  ). This problem includes applications of the Pythagorean theorem as listed in the eighth-grade Common Core State Standards for geometry (CCSSI 2010).",,
11,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,Level 1: Confirmation Inquiry,,
12,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,Question: How many segments of length one unit can you find on the geoboard?,,
13,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"The role of the teacher in confirmation inquiry is to provide students with a question and procedure, where the solution is known in advance. This question helps students develop their mathematical knowledge base for the subsequent related questions. (The solution to the question is 40 segments of length one.)",,
14,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"In our experiences administering the level questions, many students preferred to draw every segment and then count the segments, as shown by the student work in 
  figure 3

  . This question not only confirms a correct answer but also supplies a basis of justification for the following tasks.",,
15,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,Level 2: Structured Inquiry,,
16,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"Question: How many segments of length two, three, four, and five units can you find on the geoboard?",,
17,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"The role of the teacher in structured inquiry is to provide the question and the procedure, but students generated their solutions on the basis of empirical evidence. In the level 2 question, students may first use deductive reasoning because the number of segments of length one can be represented as 4  5  2 (4 in each row  5 rows  2 for both horizontal and verticals segments). Some students saw only 4  5; however, after discussions with others, these students saw both the horizontal and the vertical that changed their results to 4  5  2. It follows logically that the number of segments of length two is 3  5  2, and the number of segments of length three is 2  5  2, and so on.",,
18,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"However, our students approached their search for these segment lengths differently. Some students again found comfort in identifying every segment, whereas others stopped counting after determining the number of horizontalsegments of length three, then mentally rotated the geoboard a one-fourth turn to obtain an equal number of segments vertically (see 
  fig. 4

  ).",,
19,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,Providing a separate geoboard recording sheet seemed to help students test and verify their conjectures.,,
20,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"At this point in the task, students can begin to use inductive reasoning because they will often see a pattern as the lengths of each segment increase (see 
  fig. 5

  for the solution to the level 2 question). Using the empirical evidence given by the examples thus far, they may come to a conclusion on the number of segments of length five. Some students reasoned that the number of segments of length five must be zero, which also was incorrect. After the teacher suggested the Pythagorean theorem, students were able to generate all the segments with length five, but only after discussion among the students of 3-4-5 right triangles on the geoboard.",,
21,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"The pattern that surfaced in this question provides a ""desirable difficulty"" (Speer 2011, p. 3) in which the end result for the number of segments of length five is not anticipated. This part of the task creates disequilibrium in students' minds. It leads to a rich discussion of how the procedure changes to use the Pythagorean theorem to find all segments of length five. In fact, as Allen (2013) had found with the Geoboard Triangles problem, finding all the segments of length five brings up ""issues of orientation, reflection, and rotation"" (p. 115).",,
22,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,Level 3: Guided Inquiry,,
23,Taking It to the Next Level_ Students Using Inductive Reasoning - National Council of Teachers of Mathematics,"Question: How many segments of length 
  

  units can you find on the geoboard?",,
