__id__,__filename__,text,__id__,__filename__
0,Tasks to Develop Language for Ratio Relationships,Tasks to Develop ,0,Tasks to Develop Language for Ratio Relationships
1,Tasks to Develop Language for Ratio Relationships,Language for,1,Tasks to Develop Language for Ratio Relationships
2,Tasks to Develop Language for Ratio Relationships,Ratio,2,Tasks to Develop Language for Ratio Relationships
3,Tasks to Develop Language for Ratio Relationships,Relationships,3,Tasks to Develop Language for Ratio Relationships
4,Tasks to Develop Language for Ratio Relationships,"Relationships numbers (Cengiz and Rathouz 2011; Rathouz and Rubenstein 2009). Our work draws on the Common Core’s Standards for Mathematical Practices, the related Progression on Ratios and Proportional Relationships (University of Arizona 2011), and ideas found in Asian textbooks (Hironaka and Sugiyama 2007). We also build on the work of Lobato and Ellis (2010), who describe several “essential understandings” that learners should have regarding ratios. These key concepts include the idea  that ratios such as 1:4 can be thought of as— composed units: For every 1 unit of one quantity, there are 4 units of the other quantity; or  •  multiplicative comparisons: There are 4 times as many units of the second quantity as the fi rst. ",4,Tasks to Develop Language for Ratio Relationships
5,Tasks to Develop Language for Ratio Relationships,"These two ways of conceptualizing ratios are extremely useful for learners. As with fractions, in which an underlying whole is implicit, ratio  rRatios and Proportional Relationships is one of fi ve content domains in the middle-grades section of the Common Core State Standards for Mathematics (CCSSM) (CCSSI 2010). The complex nature of this domain makes it challenging to teach for understanding (Thompson and Saldanha 2003; Markworth 2012). At our university, we have been designing a curriculum sequence to develop preservice teachers’ (PSTs’) understanding and fl exibility in solving problems involving rational ",5,Tasks to Develop Language for Ratio Relationships
6,Tasks to Develop Language for Ratio Relationships,Tasks that have been developed to build a  foundation for ratio meanings and language not only provide valuable information about student thinking but also support proportional reasoning. ,6,Tasks to Develop Language for Ratio Relationships
7,Tasks to Develop Language for Ratio Relationships,"Ratio Margaret Rathouz, Nesrin Cengiz, Angela Krebs, and Rheta N. Rubenstein",7,Tasks to Develop Language for Ratio Relationships
8,Tasks to Develop Language for Ratio Relationships,"Relationships symbols mask relationships that need fuller attention and verbalization. Our curriculum aims to help PSTs build core concepts of ratio by making connections among contexts, language, and diagrammatic representations for both these conceptualizations.",8,Tasks to Develop Language for Ratio Relationships
9,Tasks to Develop Language for Ratio Relationships,"In this article, we share tasks we  have developed to build a foundation for ratio meanings and ultimately for proportional reasoning. In presenting these tasks and brief vignettes of discussions, we hope to provide readers with a deeper understanding of the  mathematical concepts underlying ratio and proportional relationships. Although our students are adult prospective teachers, the tasks could be used with slight modification with middle school learners. We include excerpts of PST dialogue and diagrams to detail how ratio thinking develops, including struggles experienced and support needed by these adult learners.",9,Tasks to Develop Language for Ratio Relationships
