__id__,__filename__,text,__id__,__filename__
0,Taxing Problems,cartoon corner,0,Taxing Problems
1,Taxing Problems,Name ______________________________,1,Taxing Problems
2,Taxing Problems,TAXING PROBLEMS,2,Taxing Problems
3,Taxing Problems,Help needed! Both father and son in this cartoon need mathematics to solve their problems.,3,Taxing Problems
4,Taxing Problems,"1. Helping Junior   a.  The mathematics expression on Junior’s computer screen is this: 4 3.972 + 27 9 18 122 – 4 3.972 + 27 7.2 9 18  Junior’s father, I. Will Fixit, 122 – 7.2 helped his son by rewriting the 28.8 3.972 +194.4 problem as 28.8 3.972 +194.4 1036.8 – 9 18 1036.8 – 9 18  Explain how the two expressions are equivalent.",4,Taxing Problems
5,Taxing Problems,  b.  Help Junior simplify the expression to the nearest hundredth.,5,Taxing Problems
6,Taxing Problems,2. Helping Dad,6,Taxing Problems
7,Taxing Problems,"After helping his son with his homework, I. Will Fixit, a selfemployed carpenter, needed help with his taxes. Use Schedule Y-1 below to help him solve his tax problems. He is married and fi ling jointly, with a taxable income of $139,940.",7,Taxing Problems
8,Taxing Problems,"  a.  What is the base tax (in column 3, not including the percent) for the Fixit family income level?   b.  Write an inequality to represent all incomes, x, that are subject to the same base tax (before any additions) as the Fixit family.  c.  Write an equation that can be used to fi nd the amount of tax, t, (using columns 3 and 4) for someone in the same income range as the Fixits.",8,Taxing Problems
9,Taxing Problems,"  d.  Calculate the total tax owed by  the Fixits.  e.  What is the income for someone  with a tax of $36,750? 3. Last summer, Junior started his fi rst part-time job working at the mall food court. He earned $8.50 per hour and worked 20 hours per week. He received a paycheck every two weeks, with the following amounts being withheld: 15% of his pay in federal income tax, 9% in FICA and Medicare tax, and 3% in state income tax.    a.  What was Junior’s gross income (before taxes were withheld) for two weeks?    b.  How much did he pay in each  of these types of taxes every two weeks? (i) Federal income tax (ii) FICA and Medicare tax (iii) State income tax c.  What was Junior’s net income  (after taxes were withheld) each pay period?  4. During the 2010 tax season, the ",9,Taxing Problems
10,Taxing Problems,"Internal Revenue Service was able to catch math errors on approximately 8.6 million tax returns (Finkel and Española 2010). If 233 million tax returns were fi led, what percentage of returns contained errors? from the March 2018 issue of",10,Taxing Problems
11,Taxing Problems,"This cartoon and many of the questions were submitted by Joanne Caniglia, jcanigl1@kent.edu, who teaches at Kent State University, in mathematics education. Michelle Meadows teaches at Tiffin University in mathematics education. Edited by Hoyun Cho, Capital  University in Columbus, Ohio; David B. Spangler, McGraw-Hill Education; and Katie A. Hendrickson, Code.org, Seattle, Washington. Classroom teachers interested in field-testing or submitting a cartoon should contact Cartoon Corner at mtms@nctm.org. The cartoons must include the date and the newspaper syndicate that holds the copyright. 34.972 ≈ 4 •1.993 + 27 9 • 4.243 144 – 7.2 4 3.972 + 27 9 18 7.2 122 – searched a university to attend and the cost of that education, and then were employed in that field. Twice a month, they deposited their net pay and pay bills ranging from rent and electricity to student loans and car insurance. This lesson was a natural fit! Taxing problems provided them with a new perspective on why their net pay was so much less than their gross amount. Interesting discussions occurred about whether it was better to receive a huge refund or owe money at the end of the tax year. Students were surprised that a refund meant that the government had some of their money for the year and they were not earning any interest on that “investment.”",11,Taxing Problems
12,Taxing Problems,Judy Kraus,12,Taxing Problems
13,Taxing Problems,Hyde Park Middle School,13,Taxing Problems
14,Taxing Problems,"Las Vegas, Nevada",14,Taxing Problems
15,Taxing Problems,OTHER IDEAS,15,Taxing Problems
16,Taxing Problems,Extend this Cartoon Corner with these ideas: •  According to the Bureau of ,16,Taxing Problems
17,Taxing Problems,"Labor Statistics (2015), a selfemployed carpenter uses math every day. Investigate the skills used by carpenters (or another career) by visiting the Bureau of Labor’s website featuring  the Occupational Outlook Handbook at http://www. bls.gov/ooh/constructionand-extraction/carpenters.",17,Taxing Problems
18,Taxing Problems,htm#tab-4.,18,Taxing Problems
19,Taxing Problems,"•  Research the federal tax  rates for FICA, Medicare, and income (for a person filing as an individual) and also state and possible local income tax rates. Research what FICA stands for and what it is.",19,Taxing Problems
20,Taxing Problems,•  Explore these online resources  related to financial literacy: Jump$tart: www.jumpstart.org.  The Mint: http://www.themint.,20,Taxing Problems
21,Taxing Problems,org/,21,Taxing Problems
22,Taxing Problems,SOLUTIONS 1.  a.  Junior’s father multiplied the  numerator and the denominator of the expression by 7.2.,22,Taxing Problems
23,Taxing Problems,  b.  Each expression is simplified  below (verifying that they have the same approximate value).,23,Taxing Problems
24,Taxing Problems,"4 3.972 + 27 9 18 7.2 122 – 4 3.972 + 27 ≈ 4 •1.993 + 27 9 18 9 • 4.243 122 – 144 – 7.2 7.2 ≈ 4 •1.993 + 27 9 • 4.243 144 – 7.2 34.972 144 – 5.304 ≈ 34.972 138.696 ≈ 0.25 34.972 144 – 5.304 ≈ 34.972 138.696 ≈ 0.25 28.8 3.972 + 194.4 28.8 3.972 + 194.4 (cid:31) (cid:31) ≈(cid:31) ≈(cid:31) ≈(cid:31) 1036.8 – 9 18 1036.8 – 9 18 ≈(cid:31) 28.8 • 1.993 + 194.4 1036.8 – 9 • 4.243 ≈(cid:31) 57.398 + 194.4 1036.8 – 38.187 ≈(cid:31) 251.798 998.613 28.8 • 1.993 + 194.4 1036.8 – 9 • 4.243 57.398 + 194.4 1036.8 – 38.187 251.798 998.613 ≈ 0.25 ≈ 0.25 8,600,000 2.  a. $10,162.50 233,000,000 ≈ 0.0369, 8,600,000 233,000,000 ≈ 0.0369, b. $73,800 ≤ x < $148,850 c.  Sample: t = $10,162.50 + 25% of the amount over $73,800 = $10,162.50 + 0.25(i – $73,800), where i is the income.    d.   t = $10,162.50 + 0.25($139,940 –     = $10,162.50 + 0.25($66,140)  $73,800)    = $10,162.50 + $16,535   = $26,697.50  e.  Sample: $36,750 = $28,925 +  0.28(i – $148,850), where i is the person’s income and $148,850 is the income for someone who owes $28,925 in taxes.",24,Taxing Problems
25,Taxing Problems,"144 – 5.304 $36,750 = $28,925 ≈ 34.972   + 0.28i – $41,678 138.696   –0.28i = –$49,503 ≈ 0.25        i ≈ $176,796.43 3.  a. $8.50(20)(2) = $340 28.8 3.972 + 194.4 (cid:31) 1036.8 – 9 18   b.  (i) Federal income tax:  ≈(cid:31) 28.8 • 1.993 + 194.4 0.15($340) = $51; (ii) FICA 1036.8 – 9 • 4.243 and Medicare tax: 0.09($340) = 57.398 + 194.4 $30.60; (iii) State income tax: 1036.8 – 38.187 0.03($340) = $10.20 251.798 998.613 ≈(cid:31) ≈(cid:31) c.  $340 – $51 – $30.60 – $10.20 =  ≈ 0.25 $248.20 4.  8,600,000 233,000,000 ≈ 0.0369(cid:31)",25,Taxing Problems
