__id__,__filename__,text,__id__,__filename__
0,Teaching with the Mathematical Practices in Mind,teaching with the,0,Teaching with the Mathematical Practices in Mind
1,Teaching with the Mathematical Practices in Mind,MatheMatical,1,Teaching with the Mathematical Practices in Mind
2,Teaching with the Mathematical Practices in Mind,Practices in Mind,2,Teaching with the Mathematical Practices in Mind
3,Teaching with the Mathematical Practices in Mind,"Esther M. H. Billings, ",3,Teaching with the Mathematical Practices in Mind
4,Teaching with the Mathematical Practices in Mind,"David C. Coffey, John Golden, and Pamela J. Wells",4,Teaching with the Mathematical Practices in Mind
5,Teaching with the Mathematical Practices in Mind,A professional development workshop supports teachers’ understanding of the Standards for Mathematical Practice and helps teachers transfer this knowledge to the middle school classroom.,5,Teaching with the Mathematical Practices in Mind
6,Teaching with the Mathematical Practices in Mind,hHow can we support the use of the ,6,Teaching with the Mathematical Practices in Mind
7,Teaching with the Mathematical Practices in Mind,"Standards for Mathematical Practice in the classroom?  As professional developers and teacher educators, we strive to support teachers as they seek to answer this question. When teachers personally and intentionally experience the practices and refl ect on how the practices support and promote mathematical understanding, they will be better equipped to explore these same strategies with their own students in meaningful ways. We fi nd that a workshop model is an effective ",7,Teaching with the Mathematical Practices in Mind
8,Teaching with the Mathematical Practices in Mind,MatheMatical,8,Teaching with the Mathematical Practices in Mind
9,Teaching with the Mathematical Practices in Mind,Practices in Mind vehicle for such support because it provides both mathematical learning and practice. ,9,Teaching with the Mathematical Practices in Mind
10,Teaching with the Mathematical Practices in Mind,"We describe the workshop model and how it was used in a professional development context. We also explore how the model supported teachers’ understanding of the Standards for Mathematical Practice, found in the Common Core State Standards for Mathematics (CCSSM) (CCSSI 2010). Specifically, there were many opportunities to experience Practice 1: Make sense of problems and persevere  in solving them and Practice 3: Construct viable arguments and critique the reasoning of others (CCSSI 2010, p. 6). We also discuss ways to transfer this knowledge to the middle school classroom. ",10,Teaching with the Mathematical Practices in Mind
11,Teaching with the Mathematical Practices in Mind,"The workshop model is an established form of instruction, extensively used in language arts (Cambourne 1988; Keene and Zimmermann 1997). Recently, it has been considered a viable approach in other disciplines, including mathematics and science (Heuser 2002). With its value in mind,  we modified the literacy workshop to fit our vision of immersing learners in what it means to do mathematics. Our adaptation of the workshop model includes four key components: making connections, focus, activity, and reflection. These areas provide a deliberate structure for critical thinking. Each component is explained in detail in table 1. This model promotes understanding mathematics, connecting knowledge, and communicating this understanding through appropriate arguments, reasoning, and reflection.  the workshop Model and the Math teacher",11,Teaching with the Mathematical Practices in Mind
12,Teaching with the Mathematical Practices in Mind,"We used the workshop model throughout a sixteen-month professional development grant geared toward teachers. The grant focused on increasing the mathematical content knowledge of a diverse group of middle school teachers. The teachers explored how various processes, such as constructing viable arguments and critiquing the reasoning of others (Practice 3) or making sense of problems and persevering in solving them (Practice 1), can be embedded within a math lesson.",12,Teaching with the Mathematical Practices in Mind
13,Teaching with the Mathematical Practices in Mind,"Our workshop demonstrated to participants how mindful attention to the practices can provide a deeper understanding of proportions. In creating this workshop, we incorporated modeling (Practice 4) by examining proportional relationships using pictorial, contextual, verbal, symbolic, and numeric representations; communicating and  constructing viable arguments (Practice 3); and monitoring progress during the problem-solving process (Practice 1). In addition, we intentionally chose existing problems, appropriate for middle grades’ learners, so that the teachers could potentially incorporate these same problems and discussions into their own instruction.",13,Teaching with the Mathematical Practices in Mind
14,Teaching with the Mathematical Practices in Mind,1. Make connections,14,Teaching with the Mathematical Practices in Mind
15,Teaching with the Mathematical Practices in Mind,"Workshops begin by asking participants to access what they know before beginning a new topic. We posed an open scenario so that teachers could build on their prior knowledge and experience. A problem asked them to compare two classrooms and decide which had more girls.   Suppose there are two classes  in a school, one with 20 students and one with 25. If the first class has 10 girls and the second  class has 12 girls, which class   table 1 Components of the workshop model provided a deliberate structure for critical thinking.",15,Teaching with the Mathematical Practices in Mind
16,Teaching with the Mathematical Practices in Mind,component,16,Teaching with the Mathematical Practices in Mind
17,Teaching with the Mathematical Practices in Mind,Making  connections,17,Teaching with the Mathematical Practices in Mind
18,Teaching with the Mathematical Practices in Mind,Focus,18,Teaching with the Mathematical Practices in Mind
19,Teaching with the Mathematical Practices in Mind,Activity,19,Teaching with the Mathematical Practices in Mind
20,Teaching with the Mathematical Practices in Mind,Reflection description,20,Teaching with the Mathematical Practices in Mind
21,Teaching with the Mathematical Practices in Mind,This component builds from Keene and Zimmermann’s work (1997) on schema activation.,21,Teaching with the Mathematical Practices in Mind
22,Teaching with the Mathematical Practices in Mind,Learners recall and reflect on what they currently know and make connections to past experiences and knowledge before beginning a new topic.,22,Teaching with the Mathematical Practices in Mind
23,Teaching with the Mathematical Practices in Mind,"This component sets the expectations for the workshop. Learners are introduced to the theme of the lesson and  are presented with a main question to explore, a  mathematical strategy or practice to pursue, an example  of student thinking to analyze, or a selection to read. This component comprises the bulk of the workshop. Learners work collectively and individually to solve  problems, explore new ideas, and construct new  knowledge. Learners often choose from activities that  match their interest or their ability level. This component gives participants time to consolidate  the experience.",23,Teaching with the Mathematical Practices in Mind
24,Teaching with the Mathematical Practices in Mind,Learners may collectively or individually share their  reflections either verbally or in writing.  has more girls? (Annenberg Learner) ,24,Teaching with the Mathematical Practices in Mind
25,Teaching with the Mathematical Practices in Mind,"After reading the question, the teachers examined assumptions and tried to understand what “more girls” meant. As they identified different ways to interpret the definition of “more,” they explored several issues: “Are we comparing 12 versus 10 girls or which class has a greater percentage of girls? If we are comparing percentages, then we need to compare 10/20 versus 12/25.” After we explained that the question could be answered either way, the teachers suggested that a multiplicative comparison would be more useful. They used fraction sense to determine that the second class had a smaller percentage of girls. They reasoned that in the first class, half the students are girls because  10 20 number of nutty candies number of candies in box",25,Teaching with the Mathematical Practices in Mind
26,Teaching with the Mathematical Practices in Mind,"Because 12/25 is less than 1/2, there are fewer girls in the second class. The teachers could analyze the givens and constraints of the problem and understand this context, so they did not need to find a common denominator or use an algorithm to compare the quantities; instead, they could use their understanding of fraction benchmarks. Throughout this part of the workshop, the teachers discussed distinctions between additive and multiplicative comparisons as they actively made sense of the problem (Practice 1).  2. Focus on the  think alouds",26,Teaching with the Mathematical Practices in Mind
27,Teaching with the Mathematical Practices in Mind,"The focus of a workshop establishes the mathematical expectations. A focus can occur in a variety of forms. Learners can be introduced to the theme of a lesson and then asked to explore an overarching question, a mathematical strategy, or examples of students’ ",27,Teaching with the Mathematical Practices in Mind
28,Teaching with the Mathematical Practices in Mind,Fig. 1 The context of this problem modeled the think-aloud activity for teachers.,28,Teaching with the Mathematical Practices in Mind
29,Teaching with the Mathematical Practices in Mind,Fig. 2 Teachers recorded think-aloud strategies and then critiqued and examined them together.,29,Teaching with the Mathematical Practices in Mind
30,Teaching with the Mathematical Practices in Mind,Watch John think aloud as he solves this Candy Box problem. What do you notice? What  processes did John use to  make sense of this problem?,30,Teaching with the Mathematical Practices in Mind
31,Teaching with the Mathematical Practices in Mind,Which box of candy is nuttier? How much of each box is nuts?,31,Teaching with the Mathematical Practices in Mind
32,Teaching with the Mathematical Practices in Mind,"Source: Langrall and Swafford 2000, p. 259 thinking, or to critically analyze a reading. We chose to deliberately emphasize the think-aloud strategy because finding multiple entry points to solve numerical comparison proportion problems (Practice 1) and constructing viable arguments (Practice 3) are often challenging for learners.",32,Teaching with the Mathematical Practices in Mind
33,Teaching with the Mathematical Practices in Mind,"This think aloud gave teachers the  opportunity to focus on the mathematical aspects of the problem as well as specific mathematical practices. In so doing, they could see and hear mathematical problem solving in action, recognize how viable arguments are constructed, and identify ways to critique the reasoning of others. Unlike a traditional lecture, a think aloud asks learners to actively engage in the demonstration by creating a record of thinking, not just actions, which they can reflect on, refer to later, and apply to their own efforts. ",33,Teaching with the Mathematical Practices in Mind
34,Teaching with the Mathematical Practices in Mind,"John, a facilitator, used the Candy ",34,Teaching with the Mathematical Practices in Mind
35,Teaching with the Mathematical Practices in Mind,"Box problem shown in figure 1 to work through a think aloud by  explicitly sharing his thinking and problem-solving process. He presented his work on the white board. During the think aloud, the teachers actively observed and analyzed how John made sense of the problem (Practice 1) and communicated his reasoning (Practice 3). He began by trying to understand the problem by asking, “What does it mean to be nutty?”",35,Teaching with the Mathematical Practices in Mind
36,Teaching with the Mathematical Practices in Mind,"Looking for an entry point into the problem, he began considering possible approaches. “I wonder if this is another way to ask a probability problem. If I picked a candy, from which box would I be more likely to get a candy with a nut in it?” After establishing this connection, he began exploring which box had the largest ratio of nutty candies. ",36,Teaching with the Mathematical Practices in Mind
37,Teaching with the Mathematical Practices in Mind,"He first compared the rows of  candies in each box using a pictorial representation (see fig. 2). Because each box contained rows of 5 candies, he rearranged the candies in the first box, placing 2 nutty candies per row. In the second box, his rearrangement yielded two of the three rows with  2 nutty candies and the last row with 1 nutty candy. Since this row had a lesser amount, John concluded that  the second box was less nutty. He then determined how much of each box = consisted of nutty candy by writing the ratio of  10 20 number of nutty candies number of candies in box or 1/10 and 5/15, respectively. For comparative purposes, he decided to think of the ratio as a percentage. He calcaluted that 4/10, or 40 percent, of the first box had nutty candies. He thought of 5/15 as a friendly fraction of 1/3, which he knew was equivalent to 33 1/3 percent. Then, he compared 40 percent to 33 1/3 percent, confirming that the first box was nuttier. By reasoning through the problem both ways, he validated his solutions. ",37,Teaching with the Mathematical Practices in Mind
38,Teaching with the Mathematical Practices in Mind,"John then decided to solve the problem using a different strategy. He suggested duplicating, or iterating, the boxes of candy until each contained the same overall number of candies. He could then make larger boxes of candy that would have the same ratio of nutty candies as the original boxes but would be easier to compare. The first box had 10 candies and the second had 15, so he used his  “Here’s how you can solve the problem” is quite different from “this is what I thought about as I solved the problem” because a polished solution does not showcase the sense making and strategies that may be used during problem solving.",38,Teaching with the Mathematical Practices in Mind
39,Teaching with the Mathematical Practices in Mind,understanding of multiples to iterate the first box three times and the second box twice to get 30 candies in each box (see fig. 2). He found that  4 × 3 = 12 nutty candies were in the first box and that 5 × 2 = 10 nutty candies were in the second box.,39,Teaching with the Mathematical Practices in Mind
40,Teaching with the Mathematical Practices in Mind,"Since both boxes contained   30 candies total, he directly compared the number of nutty candies in each box. Finally, he represented the situation numerically, comparing 12/30 versus 10/30. He commented that because each had the same number of candies, the denominator was the same. By analyzing givens, monitoring and evaluating his problem-solving progress, making connections between different representations, and checking his answer using another method, John actively demonstrated persevering and making sense of problems (Practice 1). ",40,Teaching with the Mathematical Practices in Mind
