__id__,__filename__,text,__id__,__filename__
0,Technology Helps Students Transcend Part-Whole Concepts,Technology,0,Technology Helps Students Transcend Part-Whole Concepts
1,Technology Helps Students Transcend Part-Whole Concepts,Technology,1,Technology Helps Students Transcend Part-Whole Concepts
2,Technology Helps Students Transcend Part-Whole Concepts,Helps Students Transcend Helps Students Transcend        Part-Whole Concepts        Part-Whole Concepts,2,Technology Helps Students Transcend Part-Whole Concepts
3,Technology Helps Students Transcend Part-Whole Concepts,Explore a new app that allows students to develop a more sophisticated understanding of fractions. ,3,Technology Helps Students Transcend Part-Whole Concepts
4,Technology Helps Students Transcend Part-Whole Concepts,"Anderson Norton, Jesse L. M. Wilkins, Michael A. Evans, Kirby Deater-Deckard, ",4,Technology Helps Students Transcend Part-Whole Concepts
5,Technology Helps Students Transcend Part-Whole Concepts,"Osman Balci, and Mido Chang hHow would your students make sense of  the fraction 5/7? Would they interpret it as 5 parts out of 7 equal parts? Could they also understand it as a piece that is 5 times as large as 1/7? The former interpretation aligns with part-whole conceptions, whereas the latter aligns with partitive conceptions. Steffe and Olive (2010) have made such distinctions in students’ fractional knowledge to explain why students experience diffi culties with fractions and to help students overcome those diffi culties. (For summaries of this work, see Norton and McCloskey 2008 and 2009.) ",5,Technology Helps Students Transcend Part-Whole Concepts
6,Technology Helps Students Transcend Part-Whole Concepts,"We introduce an educational video  game (application, or app) designed to promote students’ development of partitive understanding while demonstrating the critical need to promote that development. The app includes essential game features of immediate feedback, incentives, and summary information for refl ection and discussion (Evans et al. 2013).  liMitations oF PaRt-Whole concePts",6,Technology Helps Students Transcend Part-Whole Concepts
7,Technology Helps Students Transcend Part-Whole Concepts,"Part-whole concepts give students an early foundation in understanding  fractions. However, this foundation remains insufficient for mastering fraction concepts that students will see in the K-grade 12 curriculum. In particular, part-whole analyses are meaningless when improper fractions, such as 7/5, are discussed. After all, how can a student make sense of  7 out of 5?",7,Technology Helps Students Transcend Part-Whole Concepts
8,Technology Helps Students Transcend Part-Whole Concepts,"To work with the limitation, students might convert improper fractions to mixed numbers (e.g., 1 and 2/5), but they should also develop understandings that enable them to consider fractions as “numbers in their own right” (Hackenberg 2007, p. 27). Moreover, fraction operations, such as multiplication and division, can be cumbersome or even unintelligible unless students progress beyond part-whole concepts. For this reason, the Common Core State Standards for Mathematics (CCSSM) calls on teachers to support student development beyond partwhole conceptions, even as early as the third grade (CCSSI 2010). Studies of students’ fractions knowledge indicate that such comprehensions are uncommon, even among middle school  students (Hackenberg 2007; Norton and Wilkins 2010; Olive and  Vomvoridi 2006; Steffe and Olive 2010).",8,Technology Helps Students Transcend Part-Whole Concepts
9,Technology Helps Students Transcend Part-Whole Concepts,"PaRtitioning and iteRating Partitioning and iterating are fundamental mental actions, or operations, that underlie fractions concepts. The limitation of part-whole concepts stems from a reliance on partitioning alone. Partitive thinking, on the other hand, relies on both partitioning and iterating. Of course, it is important that students are able to partition a continuous whole into a specified number of equal parts, as in sharing a candy bar among five friends. However, students should also understand that any one of those parts could be iterated, or multiplied, to produce other fractional parts. For ",9,Technology Helps Students Transcend Part-Whole Concepts
10,Technology Helps Students Transcend Part-Whole Concepts,"Fig. 1 These tasks, which assess partitive conceptions of unit fractions, require students to iterate a unit fractional part within the given whole.",10,Technology Helps Students Transcend Part-Whole Concepts
11,Technology Helps Students Transcend Part-Whole Concepts,What fraction is the smaller pie piece out of the whole pie? (a) ,11,Technology Helps Students Transcend Part-Whole Concepts
12,Technology Helps Students Transcend Part-Whole Concepts,"What fraction is the smaller stick out of the longer stick? (b)  example, 3/5 can be generated with three iterations of 1/5. In a comparative analysis of international texts, Watanabe (2009) found that U.S. textbooks focus almost exclusively on part-whole tasks.",12,Technology Helps Students Transcend Part-Whole Concepts
13,Technology Helps Students Transcend Part-Whole Concepts,"In contrast, tasks in Chinese and ",13,Technology Helps Students Transcend Part-Whole Concepts
14,Technology Helps Students Transcend Part-Whole Concepts,"Japanese textbooks often refer to nonunit proper fractions as multiples of unit fractions; for example, 3/4 is referred to as three times 1/4. Although numerous differences are found in culture and education that contribute to stronger mathematics performance among students in China and Japan, it is important to consider textbooks as a contributing factor, especially because “in every country, mathematics textbooks exert a considerable influence on the teaching and learning of mathematics” (Howson 1995, pp. 5−6).  assessing stUdents’ PaRtitiVe concePtions",14,Technology Helps Students Transcend Part-Whole Concepts
15,Technology Helps Students Transcend Part-Whole Concepts,"Students’ development of partitive conceptions traces a learning trajectory outlined by Steffe and Olive (2010). Students begin by developing partitive understandings for unit fractions, meaning that they can think about unit fractions as sizes relative to a specified whole. For example, students might begin to understand 1/5 as a length that, when iterated (copied or multiplied) five times, reproduces the whole. Later on, students begin to generalize that knowledge and extend it to nonunit proper fractions so that, for instance, they can understand 3/5 as a length that results from three iterations of 1/5. Conceiving of improper fractions as multiples of unit fractions requires further development. ",15,Technology Helps Students Transcend Part-Whole Concepts
16,Technology Helps Students Transcend Part-Whole Concepts,"Figure 1 shows two sample tasks  that we have used in assessing students’ partitive knowledge of unit fractions. The responses are from two seventh-grade students. In a recent study in a small, rural school, we found that about 40 percent of seventh-grade students still struggle with such tasks (Norton and Wilkins 2010). Further, we have found that students who have constructed partitive conceptions of fractions are poised to construct more advanced ",16,Technology Helps Students Transcend Part-Whole Concepts
17,Technology Helps Students Transcend Part-Whole Concepts,Fig. 2 These research examples demonstrate students’ constructions of partitive schemes.,17,Technology Helps Students Transcend Part-Whole Concepts
18,Technology Helps Students Transcend Part-Whole Concepts,Fig. 3 This frame introduces students to the CandyFactory Educational Game. ,18,Technology Helps Students Transcend Part-Whole Concepts
19,Technology Helps Students Transcend Part-Whole Concepts,Make a stick that is two times as big as this stick . . . three times . . . four times. . . . ,19,Technology Helps Students Transcend Part-Whole Concepts
20,Technology Helps Students Transcend Part-Whole Concepts,"If this stick is 1/7 of a whole stick, can you show me how big the whole stick is? (a) (b) ideas about fractions. These findings, which demonstrate that we cannot take partitive knowledge for granted, underscore the need for teachers to support this development. ",20,Technology Helps Students Transcend Part-Whole Concepts
21,Technology Helps Students Transcend Part-Whole Concepts,"Each task in figure 1 requires students to iterate a unit fractional part within the given whole to determine its unit-fractional size relative to that whole. The response associated with the task in figure 1a indicates that the student could name the unit fractional part based on the number of iterations within the whole. This is the essence of partitive reasoning, so we can infer that the student had at least begun to develop partitive conceptions for unit fractions. ",21,Technology Helps Students Transcend Part-Whole Concepts
