__id__,__filename__,text,,
0,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,"Given the unknown depth of conceptual understanding of content that students have attained during previous years and the increased emphasis on raising standardized assessment scores, engaging students in meaningful mathematical learning experiences can be challenging. One problem is that the magnitude of content to be taught often appears as overwhelming to teachers as it is to their students. Teachers are left to ponder the answers to the following:",,
1,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,• How can I ensure that a student has mastered the underlying skills and concepts?,,
2,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,• How do skills and concepts fit together as the content increases in rigor and scope?,,
3,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,• Is there a way to organize all the information into something that is clear and cohesive to both teachers and students?,,
4,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,• What would be the best way to have students engage with the content?,,
5,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,• How can I really know when students have mastered concepts?,,
6,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,"One means of looking at content is to create a “Brick Wall” graphic organizer, a variation of a concept map, which can be adapted for a particular unit or topic of study or used to create a scope and sequence of content. A Brick Wall graphic organizer allows the teacher to address several of the Mathematics Teaching Practices outlined in Principles to Action: Ensuring Mathematical Success for All (NCTM 2014).",,
7,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,AN APT METAPHOR,,
8,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,"A brick wall provides a fitting description of what happens when teachers try to teach a concept for which students are unprepared. When students are unsuccessful academically, their foundational knowledge may be missing, incomplete, or incorrect. As a result, students “hit a brick wall,” and their academic progress stops because they do not understand and/or they hold misconceptions about a particular concept. Just as in the construction of a building, if one tries to place additional tiers of bricks (content knowledge) on a weak or incomplete framework, the structure starts to sag and, as additional layers are added, finally collapses. This content knowledge collapse often manifests as student frustration during the lesson, a clear signal to the teacher to reinforce foundational concepts. When students have not obtained the prerequisite skills, they lack the foundational knowledge on which to anchor their conceptual understanding and will find it difficult to abstract, generalize, create, and assess concepts. Thus, the Brick Wall graphic organizer serves to help teachers target foundational, discrete concepts and procedures critical to the understanding of the topic at hand.",,
9,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,REPRESENTING CONTENT KNOWLEDGE,,
10,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,"A concrete means of visualizing concepts and their relationships to one another, graphic organizers have been used to assist students in learning content material. Graphic organizers illuminate critical elements of content and vocabulary while providing an overview of interrelated skills. Moore and Readence noted that teachers who used graphic organizers in their classroom",,
11,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,"were reported to perceive themselves as better organized, more in control of the learning activity, and more sensitive to the demands of the learning task. (1984, pp. 14–15)",,
12,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,"Scope and sequence documents contain a general road map of the curriculum, but a Brick Wall graphic organizer shows how concepts build on each other.",,
13,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,"Some content areas, especially science, have used concept maps as a visual means of representing content knowledge. In contrast to graphic organizers, which place foundational knowledge at the bottom, concept maps show relationships or links between concepts and are hierarchical in design. “Big ideas” are placed at the top of the concept map, with more specific information appearing in layers below. As an instructional tool,",,
14,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,"when a teacher develops her/his own concept maps for a domain of study, the teacher gains a clearer understanding of the key concepts to be learned, and the concept map also provides guidance for the learning sequence. (Novak and Cañas 2007, p. 31)",,
15,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,BUILDING A BRICK WALL,,
16,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,"Although time-consuming to create, developing a Brick Wall has significant benefits. The graphic organizer visually depicts content knowledge development and may be presented hierarchically. The bottom row of the Brick Wall typically focuses on foundational knowledge: facts, procedures, and concepts. As more complex material is learned, concepts move upward in cognitive complexity, although each level contains some elements of factual, procedural, and conceptual knowledge. Students learn to apply and analyze concepts and then move on to evaluating and creating, requiring them to advance from concrete to abstract thinking processes.",,
17,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,Uncover Gaps,,
18,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,"Before creating a Brick Wall, teachers should examine student data to reveal gaps or misunderstandings in students’ conceptual knowledge. A realistic starting point would be to select one or two problematic objectives for deeper analysis. The Brick Wall serves as a visual tool for planning lessons that address student misconceptions while facilitating the acquisition of deep content knowledge.",,
19,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,Write the Objective,,
20,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,"The first step of creating a Brick Wall involves writing the objective or standard above the top level of the graphic organizer. Writing out the entire statement is critical to seeing the big picture. Teachers can become overly focused on small details and ignore the relationships between subobjectives and mastery of the objective. A comprehensive examination of the wording is crucial because the statement provides focus for the learning outcome, the type of thinking required, key vocabulary, possible types of assessments and activities, potential student groupings, and other vital lesson elements. This examination may also point out gaps in the teacher’s content knowledge. Teachers and other instructional personnel may find it helpful to reflect on the following questions:",,
21,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,• What verbs appear in the standard or objective?,,
22,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,• What questions can be asked to promote higher-order thinking and facilitate learning?,,
23,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,• What will the students do to demonstrate mastery?,,
24,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,• What contexts or scenarios could be used to assess the objective?,,
25,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,• What prerequisite concepts and skills should students have?,,
26,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,• What new mathematical content will students learn?,,
27,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,The previously articulated questions were used to develop a sample Brick Wall graphic organizer for the Common Core State Standards for Mathematics (CCSSM) content standard 7.G.6 (see fig. 1).,,
28,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,,,
29,The Brick Wall Graphic Organizer - National Council of Teachers of Mathematics,Identify Verbs and Plan Questions and Assessments,,
