__id__,__filename__,text,,
0,The Fire Pit - National Council of Teachers of Mathematics,This Solve It task appeared in the December 2014/January 2015 issue.,,
1,The Fire Pit - National Council of Teachers of Mathematics,,,
2,The Fire Pit - National Council of Teachers of Mathematics,"This month, we highlight the work of seventh graders in Timothy Folgers class at Elida Middle School in Elida, Ohio. Folger provided a written description of how he introduced the problem to his students, samples of student work, and a written reflection of his experience using the Fire Pit task with his students.",,
3,The Fire Pit - National Council of Teachers of Mathematics,"Folger saw this problem as an opportunity to have students model with mathematics (CCSSMs Standard for Mathematical Practice 4; CCSSI 2010) and, therefore, devoted several days to the problem. On the first day, he provided only the first paragraph of the problem and the illustration, hoping that students would focus on making sense of the scenario and developing their own questions about the context of the problem. This strategy and the tasks high level of cognitive demand (Stein and Smith 1998) produced a variety of student responses. Folger said the questions that students developed regarding the scenario ranged from lower to higher levels of cognitive demand.",,
4,The Fire Pit - National Council of Teachers of Mathematics,"Folger reported that it was the second day of the activity when students were presented with the task of developing a formula to determine the total number of pavers needed. The students had not been formally introduced to expressions and equations, so the Fire Pit problem was their first foray into this domain. The problem also presented an opportunity for students to learn new  ideas through problem solving. His students did have prior experiences working with situations involving independent and dependent variables when they used ratio tables to develop the constant rate of change in proportional relationships.",,
5,The Fire Pit - National Council of Teachers of Mathematics,"Although this task did not represent a proportional relationship, their prior experience did offer an immediate entry point into the exploration of the problem. By the end of this day, the majority of students had constructed a table, comparing the rows of pavers and the total number of pavers needed [see figs. 1 and 2]. Some students accomplished this by drawing pictures [see fig. 3]. Other students discovered patterns in the increase of pavers required for an additional row. A common mistake that Folger noticed occurred when students recorded the increase in the number of pavers from one row to another as the total number of pavers rather than the total number of pavers in all for x rows. The use of recursive reasoning is expected of students at this level, and the mistake that he noticed was typical. Folger explained that his students were able to see the difference between these quantities and progressed toward a generalization of the pattern and an explicit formula describing the relationship between rows of pavers and total number of pavers.",,
6,The Fire Pit - National Council of Teachers of Mathematics,,,
7,The Fire Pit - National Council of Teachers of Mathematics,,,
8,The Fire Pit - National Council of Teachers of Mathematics,,,
9,The Fire Pit - National Council of Teachers of Mathematics,"Folger also noted that many students showed an immediate interest in applying the concept of perimeter to calculate the total number of pavers. Students were capable of describing the number of pavers on one side as 8 plus 2 times the number of rows (r) and the perimeter as 4(8 + 2r), but struggled to determine the total number of pavers needed using the idea of perimeter. Finding the total number of pavers using the idea of perimeter is beyond the scope of the middle school curriculum, and some students had begun deriving a formula by looking at the area of the fire pit. Therefore, Folger steered the class discussion toward the concept of area and how it was measured in square units.",,
