__id__,__filename__,text,__id__,__filename__
0,The Search for Hidden Structure,THE SEARCH FOR hHow does one look for hHow does one look for mathematical structure? hmathematical structure? Finding structure is a chal-hFinding structure is a challenging yet accessible activity hlenging yet accessible activity for all students. This article hfor all students. This article describes a lesson in which hdescribes a lesson in which ,0,The Search for Hidden Structure
1,The Search for Hidden Structure,"How does one look for mathematical structure? Finding structure is a challenging yet accessible activity for all students. This article describes a lesson in which seventh graders engaged with mathematical structure. The setting was a seventh-grade prealgebra classroom in a suburban school. The classroom teacher was co-author Tatyana Finkelstein. Using classroom excerpts, we illustrate three lesson design practices that shed light on the kinds of tasks teachers can pose to support students in seeking and fi nding structure: ",1,The Search for Hidden Structure
2,The Search for Hidden Structure,HIDDEN STRUCTURE,2,The Search for Hidden Structure
3,The Search for Hidden Structure,"Designing a lesson that uses routine exercises, creates space for language use, and provides a storyline will go far toward supporting mathematical structure.",3,The Search for Hidden Structure
4,The Search for Hidden Structure,"Ryota Matsuura, Sarah Sword, and Tatyana Finkelstein •  Using routine exercises to scaffold the lesson, with an aim of helping students apply their prior knowledge to new situations  •  Creating space for students to use language to connect their informal knowledge with the more precise mathematical formulations •  Providing a mathematical storyline that students can unfold to develop a coherent picture of the underlying mathematical ideas",4,The Search for Hidden Structure
5,The Search for Hidden Structure,The seventh of the Common ,5,The Search for Hidden Structure
6,The Search for Hidden Structure,"Core’s eight Standards for Mathematical Practice (SMP) is to “look for and make use of structure” (CCSSI 2010, p. 8). Principles to Actions: Ensuring Mathematical Success for All similarly encourages “opportunities for delving more deeply into understanding the mathematical structure of problems and relationships among mathematical ideas, instead of simply seeking correct solutions” (NCTM 2014, p. 48). We focused on the “look for” part of SMP 7 by addressing the question of how students might look for mathematical structure. The search for structure is formally in the domain of SMP 7, but the standards are not intended to be used in isolation from one another (PARCC 2015). When relevant, we point to other SMP that come into play. ",6,The Search for Hidden Structure
7,The Search for Hidden Structure,"We examined the work and thinking of students who were learning how to fi nd the distance between two points in a coordinate plane. This traditional content knowledge, however, is almost a side benefi t to the real value of the lesson. The lesson was purposefully designed to enact the three teaching practices listed above, with the aims of both highlighting the underlying structure of the distance formula and supporting  students in developing strategies to seek underlying mathematical structure in problem situations where it is not readily apparent. Students spent one 55-minute class period working through problems in small groups. They had previously learned how to use the Pythagorean theorem to fi nd side lengths of right triangles but had not studied coordinate geometry beyond plotting points.",7,The Search for Hidden Structure
8,The Search for Hidden Structure,1. USING ROUTINE EXERCISES TO SCAFFOLD THE LESSON,8,The Search for Hidden Structure
9,The Search for Hidden Structure,"There are many ways to scaffold a mathematics lesson. One possibility is to use exercises that seem routine when viewed individually but build on one another to allow students to investigate different aspects of a concept. In a classroom science laboratory experiment, steps are often laid out for students so that scientifi c structure can be revealed. The collection of mathematical problems in this lesson functions similarly: The steps of the experiment are laid out for students to guide them to unveil the underlying mathematical structure. ",9,The Search for Hidden Structure
10,The Search for Hidden Structure,"Early in the lesson, students  found the distance between A(3, 2) and B(10, 2); between A(–6, 2) and B(5, 2); and between A(–375, 2) and B(–101, 2). Students activated the ",10,The Search for Hidden Structure
11,The Search for Hidden Structure,Fig. 1 Students found the distance by counting the number of grid boxes.,11,The Search for Hidden Structure
12,The Search for Hidden Structure,Fig. 2 Other students found the distance from the axes.,12,The Search for Hidden Structure
13,The Search for Hidden Structure,"following experimental strategies embedded in SMP 8 and SMP 1, respectively: •  Seeking regularity or coherence in  repeated calculations; and •  Working with smaller or special  cases. ",13,The Search for Hidden Structure
14,The Search for Hidden Structure,"These strategies guide students to seek the meaning, context, and purpose of a given situation and help them fi nd underlying structure that provides insight and explanatory power. Below, we discuss how students worked with these problems and how that helped them execute the strategies above. The problems are “low threshold” in nature; that is, they are problems that all students can approach in some way, using the knowledge they already have. This feature is critical for allowing students to conduct experiments via concrete calculations.",14,The Search for Hidden Structure
15,The Search for Hidden Structure,Excerpts of Student Thinking,15,The Search for Hidden Structure
16,The Search for Hidden Structure,"With A(3, 2) and B(10, 2), students found 10 − 3 = 7 or counted the number of grid boxes (see fi g. 1).",16,The Search for Hidden Structure
17,The Search for Hidden Structure,"Likewise, many found the distance between A(–6, 2) and B(5, 2) by computing the difference 5 – (–6) = 11.",17,The Search for Hidden Structure
18,The Search for Hidden Structure,"Others saw that A is 6 units to the left of the y-axis and that B is 5 units to the right; hence, their distance is 6 + 5 = 11 (see fi g. 2). ",18,The Search for Hidden Structure
19,The Search for Hidden Structure,"With A(–375, 2) and B(–101, 2), even those who had previously counted grid boxes now thought algebraically. Many computed the distance by 375 − 101 = 274, since the points lie on the same side of the y-axis. Others computed –101 – (–375) = 274. ",19,The Search for Hidden Structure
20,The Search for Hidden Structure,Lesson Design,20,The Search for Hidden Structure
21,The Search for Hidden Structure,"Through these problems, the teacher exposed students to the mathematical practice of repeating the same calculations. Several students commented on this explicitly by noting, “The  y-coordinates are the same again” or “We’re using the same process as before.” They wondered when they should add—as some did with A(–6, 2) and B(5, 2)—and when they should subtract. The teacher led a discussion through which those who had used addition realized they could express their sum as a difference: 5 + 6 = 5 – (–6). They exclaimed, “Subtraction is addition! But it’s actually subtraction! So, if you don’t know what the number is—you subtract!” After conducting these repeated calculations, students began to unravel a general structure: They understood that the key to fi nding the distance between A and B is to fi nd the difference between their x-coordinates. ",21,The Search for Hidden Structure
22,The Search for Hidden Structure,"In these problems, students worked with points with the same y-coordinate, which served two purposes. First, students thought about distances in a simpler context. Second, students saw how one might choose special cases. SMP 1 suggests that when seeking to understand the meaning of a problem  (i.e., its underlying structure), students “try special cases and simpler forms of the original problem in order to gain insight into its solution” (CCSSI 2010, p. 6). As with repeated calculations, working with these simpler, special cases allowed students to unveil the hidden structure. Moreover, the larger coordinates in A(–375, 2) and B(–101, 2) encouraged students to generalize their approaches while still working in a concrete setting, because it was impractical to count boxes.",22,The Search for Hidden Structure
23,The Search for Hidden Structure,Language can serve to both unpack and compress complex ideas. The process of clearly describing “what’s going on” facilitates structure seeking by organizing and framing one’s experience.,23,The Search for Hidden Structure
24,The Search for Hidden Structure,"Fig. 3 Although the approach of subtracting the smaller x-coordinate from the larger x-coordinate was common, students were dissatisfi ed with the strategy.",24,The Search for Hidden Structure
25,The Search for Hidden Structure,"Fig. 4 The seventh graders realized that to fi nd the distance between x1 and x2, they needed the absolute value of the difference.",25,The Search for Hidden Structure
26,The Search for Hidden Structure,2. CREATING SPACE FOR STUDENTS TO USE LANGUAGE,26,The Search for Hidden Structure
27,The Search for Hidden Structure,"The next problem came in two parts. The fi rst part asked students to describe in words how to fi nd the distance between arbitrary points A(x1, 2) and B(x2, 2). The second part asked them to express their description as an algebraic formula. (Note: There was an analogous problem in which A and B formed a vertical line segment.) This problem fostered students’ practice of using language to acquire clarity and understanding by engaging them with these strategies: •  Giving precise descriptions of the steps in a process (Cuoco, Goldenberg, and Mark 1996); and •  Using defi nitions to further  understanding.",27,The Search for Hidden Structure
28,The Search for Hidden Structure,"Language can serve to both  unpack and compress complex ideas. The process of clearly describing “what’s going on” facilitates structure seeking by organizing and framing one’s experience. In a nutshell, if you can say it precisely, then you are close to understanding it.",28,The Search for Hidden Structure
29,The Search for Hidden Structure,Excerpts of Student Thinking,29,The Search for Hidden Structure
30,The Search for Hidden Structure,"To illustrate students’ use of language, we briefl y return to the concrete calculations from section 1. ",30,The Search for Hidden Structure
31,The Search for Hidden Structure,Students approached those problems by first describing how the pairs of points are related: •  “The points are in the same row.” •  “The two points are both the same  height.”  •  “This is a horizontal line between  points A and B.”  •  “The two points have the same  y-coordinate.” ,31,The Search for Hidden Structure
32,The Search for Hidden Structure,"These descriptions are listed in order of increasing precision. As the language that students used to describe the relationship became more precise—hence more operational—they could devise a way to find the desired distance. By articulating that A and B have the same y-coordinate, students could determine the distance by focusing on their x-coordinates.",32,The Search for Hidden Structure
33,The Search for Hidden Structure,"In the more general setting, to describe how to find the distance between A(x1, 2) and B(x2, 2), some students did a case-by-case analysis (see fig. 3).",33,The Search for Hidden Structure
34,The Search for Hidden Structure,Subtracting the smaller x-coor-,34,The Search for Hidden Structure
35,The Search for Hidden Structure,Fig. 5 Students applied their prior learning of horizontal and vertical distances by using previously derived formulas in a new setting.,35,The Search for Hidden Structure
36,The Search for Hidden Structure,"Fig. 6 Jenny (pseudonym used) had found the distance between A(–1, –4) and B(2, 3) when the problem had been posed as a lesson launch at the beginning of class.",36,The Search for Hidden Structure
37,The Search for Hidden Structure,"dinate from the larger x-coordinate was a common approach. Many students found this method unsatisfying because they would need to know beforehand which x-coordinate is larger. Finkelstein remarked in the postlesson interview that— conversion from words to formula is not a natural thing to do. They don’t trust the algebraic formula. They ask themselves, “Does it cover all cases, all possible positive and negative combinations?” When they write x2 − x1, they’re not sure which one is bigger, which one is negative, and so on.",37,The Search for Hidden Structure
38,The Search for Hidden Structure,"Students said to each other, “There  should be some way to say we need the positive answer.” They eventually concluded that they must find the  absolute value of the difference between x1 and x2 (see fig. 4). ",38,The Search for Hidden Structure
39,The Search for Hidden Structure,Lesson Design,39,The Search for Hidden Structure
40,The Search for Hidden Structure,"We already discussed how students’ precise description of the relationship between points such as A(–375, 2) and B(–101, 2) allowed them to efficiently find the distance. Here, we will analyze how the lesson allowed students to use the definition of absolute value to further their understanding. These students had previously learned that |a − b| is the distance between numbers a and b. Finkelstein noted, however, “They needed the chance to use it in a setting like this to make the idea come alive and be meaningful.” By providing them an opportunity to use the definition of absolute value when finding distances in the coordinate plane, the teacher helped students make sense of what absolute value really means. This is a powerful notion. A definition is better understood (and appreciated) when employed later in meaningful situations, such as using it as a tool to solve a seemingly unrelated problem.  Conversely, using definitions often ",40,The Search for Hidden Structure
41,The Search for Hidden Structure,Fig. 7 Compare Jenny’s approach to the lesson launch at the beginning of class (see fig. 6) to her work on the same problem almost an hour later.,41,The Search for Hidden Structure
42,The Search for Hidden Structure,"Fig. 8 Exhibiting a wide range of clarity and thoroughness, students explained how to use the Pythagorean theorem to find the distance.",42,The Search for Hidden Structure
43,The Search for Hidden Structure,Fig. 9 Students showed their understanding of the mathematical storyline connecting problems when they referred to formulas they had developed earlier.,43,The Search for Hidden Structure
44,The Search for Hidden Structure,Fig. 10 This student made an explicit connection between her algebraic formula and the underlying geometry in the problem.,44,The Search for Hidden Structure
45,The Search for Hidden Structure,"helps reveal a new underlying structure—in this case, the structure of the relationship between A(x1, 2) and B(x2, 2).",45,The Search for Hidden Structure
46,The Search for Hidden Structure,"Even after the students could find the distance between A(–375, 2) and B(–101, 2), describing what to do with A(x1, 2) and B(x2, 2) took them a while longer.",46,The Search for Hidden Structure
