__id__,__filename__,text,,
0,Theyll Need It for Calculus - National Council of Teachers of Mathematics,"Imagine a self-propelled lawn mower that is tied to a stake by a rope. As the lawn mower runs, the rope wraps around the stake, pulling the mower closer with each revolution. My Calculus 2 students viewed a video (Atterberry 2010) of this scenario one recent semester. The lawn mower is already under way as the video begins, and the viewer sees only a few revolutions before the video ends.",,
1,Theyll Need It for Calculus - National Council of Teachers of Mathematics,We worked to answer this question: How long will it take to complete the mowing?,,
2,Theyll Need It for Calculus - National Council of Teachers of Mathematics,"As my students undertook the challenge of answering this question, I came to understand that they were struggling to write an equation to describe the lawn mowerâ€™s path. This surprised me, and it forced me to reflect on what it means to be ready for calculus.",,
3,Theyll Need It for Calculus - National Council of Teachers of Mathematics,"Although it is reasonable to question whether secondary mathematics ought to be a pipeline to calculus, this is certainly part of its present function in U.S. schools. This pipeline has many components. They include middle school mathematics, high school algebra, geometry courses, college placement exams, college courses prior to calculus, and so on, right up toâ€”and in the case of my Calculus 2 students working on the Lawn Mower problemâ€”the previous dayâ€™s lesson.",,
4,Theyll Need It for Calculus - National Council of Teachers of Mathematics,"This article focuses on the big question of what it means to be ready for calculus; it also explores the role of the middle school curriculum in preparing students to study calculus later. This should not be construed as an endorsement of the pipeline to calculus or as an assignment of responsibility for these ideas to the middle school curriculum and to teachers exclusively. Instead, this article is written for an audience of middle school teachers from the perspective of a former middle school teacher and current college teacher. In fact, it is my hope that middle school teachers (many of whom may not have taken calculus themselves) will be able to use these ideas to advocate for a strengthened middle school and high school curriculum and to resist pressures that sometimes exist to emphasize arcane algebraic skills under the premise that, well, â€œTheyâ€™ll need it for calculus.â€",,
5,Theyll Need It for Calculus - National Council of Teachers of Mathematics,"My students working on the Lawn Mower problem that semester were ready for calculus in the sense that they had mastered a standard list of discrete, challenging skills. As such, they were a typical collection of American calculus students. But my students were not ready for calculus in a very important sense, which is that they could not attack the Lawn Mower problem with something like the following reasoning:",,
6,Theyll Need It for Calculus - National Council of Teachers of Mathematics,"Letâ€™s see, I notice that as the lawn mower goes around the lawn, it gets closer to the center of the circle. I  wonder what the relationship is  between the number of times it has gone around and the distance it is from the center?",,
7,Theyll Need It for Calculus - National Council of Teachers of Mathematics,"I guess I should figure out how much the distance changes for each revolution. Is it always the same,  or is it changing?",,
8,Theyll Need It for Calculus - National Council of Teachers of Mathematics,"I guess itâ€™s about the same every time. I mean, the rope overlaps itself eventually, but basically, itâ€™s just winding around the post. So Iâ€™ll  call it constant.",,
9,Theyll Need It for Calculus - National Council of Teachers of Mathematics,And about how long is the rope  at the beginning?,,
