__id__,__filename__,text,,
0,Throw in the Towel - National Council of Teachers of Mathematics,Â,,
1,Throw in the Towel - National Council of Teachers of Mathematics,"1. a. Write an equation for Odieâ€™s total sales selling kisses, in which x is the number of kisses sold and y is the amount of money earned.",,
2,Throw in the Towel - National Council of Teachers of Mathematics,b. Write an equation to show the total sales for Garfield. Let x represent the number of towels sold and y the amount of money earned.,,
3,Throw in the Towel - National Council of Teachers of Mathematics,"2. a. If Odie has $50.00 in total sales, how many towels would Garfield have to sell to have the same total sales?",,
4,Throw in the Towel - National Council of Teachers of Mathematics,b. Suppose Odie sells four times as many kisses as Garfield sells towels. Whose total sales would be greater? How many times as great?,,
5,Throw in the Towel - National Council of Teachers of Mathematics,"For problems 3â€“5, assume that the wholesale cost per towel is $0.75 (the amount that Garfield must spend to buy each towel), and Odieâ€™s cost per kiss given is $0.00.",,
6,Throw in the Towel - National Council of Teachers of Mathematics,3. Suppose that Odie sells 30 kisses and Garfield sells 25 towels. Whose profit is greater? How much greater?,,
7,Throw in the Towel - National Council of Teachers of Mathematics,4. Odie and Garfield decide to go into business together.,,
8,Throw in the Towel - National Council of Teachers of Mathematics,"a. They offer customers the following deal: â€œBuy 2 kisses, and we throw in the towel for free.â€ How much profit will they make if 40 customers each buy 2 kisses?",,
9,Throw in the Towel - National Council of Teachers of Mathematics,"b. Odie and Garfield decide to offer the following deal to improve profits: â€œBuy 1 towel, and we give you 2 kisses for free.â€ Will this deal make them more profit per customer than the deal in part (a)? Explain.",,
10,Throw in the Towel - National Council of Teachers of Mathematics,5. Odie and Garfield decide to offer customers a choice of two possible deals:,,
11,Throw in the Towel - National Council of Teachers of Mathematics,"Option 1: â€œBuy 5 kisses, and we throw in the towel for free.â€",,
12,Throw in the Towel - National Council of Teachers of Mathematics,"Option 2: â€œBuy 3 kisses, and you get the towel for $1.00.â€",,
13,Throw in the Towel - National Council of Teachers of Mathematics,Suppose 23 customers purchase Option 1. How many customers would have to purchase Option 2 before it produces a total profit that is greater than the Option 1 profit with 23 customers?,,
14,Throw in the Towel - National Council of Teachers of Mathematics,SOLUTIONS,,
15,Throw in the Towel - National Council of Teachers of Mathematics,"1. a. 1x = y, or x = y",,
16,Throw in the Towel - National Council of Teachers of Mathematics,b. 2x = y,,
17,Throw in the Towel - National Council of Teachers of Mathematics,2. a. 25 towels; solve 2x = 50 for x; x = 25,,
18,Throw in the Towel - National Council of Teachers of Mathematics,"b. Odieâ€™s total sales would be twice as great as Garfieldâ€™s total sales. Sample explanation: Odie needs to sell twice as many kisses as Garfield sells towels for their total sales to be the same. If Odie sells four times as many kisses as Garfield sells towels, his total sales would be twice as great as Garfieldâ€™s total sales.",,
