__id__,__filename__,text,__id__,__filename__
0,U.S. Postage Rates,math for real “when will I ever use this?”,0,U.S. Postage Rates
1,U.S. Postage Rates,MATH TOPICS ADDRESSED: • Rate of change • Linear relationships • Patterns in data,1,U.S. Postage Rates
2,U.S. Postage Rates,U.S. Postage Rates,2,U.S. Postage Rates
3,U.S. Postage Rates,Carol Okigbo and Abraham Ayebo,3,U.S. Postage Rates
4,U.S. Postage Rates,The cost of first-class postage in the United States has been on the rise for nearly a century. The table at right contains data from the U.S. Postal Service on the cost of postage from 1928 to 2014. Use the table to answer the questions below.  1.  Determine the rate of change  in the cost of first-class postage between the two given years:   a. 1928 to 1932  b. 1958 to 1963   c. 1928 to 1974   d. 1958 to 1981  e. 1988 to 1991 f. 1928 to 2014 2.  Is the rate of change constant? ,4,U.S. Postage Rates
5,U.S. Postage Rates,Explain your reasoning.,5,U.S. Postage Rates
6,U.S. Postage Rates,"Edited by Fred Dillon, dillon314@ sbcglobal.net, a math educator from Strongsville, Ohio, and Kevin Dykema, k.dykema@mattawanschool.org, a teacher in Mattawan, Michigan. Manuscripts should show how math is used to solve a real-life problem, preferably in the context of one’s profession, and should be no more than 300 words. Submit manuscripts through http://mtms.msubmit.net. ",6,U.S. Postage Rates
7,U.S. Postage Rates,Year,7,U.S. Postage Rates
8,U.S. Postage Rates,"Postage in Dollars   per Ounce 1928 1932 1952 1958 1963 1968 1971 1974 1975 1978 1981 1985 1988 1991 1995 1999 2001 2002 2006 2007 2008 2009 2012 2013 2014 0.02 0.03 0.03 0.04 0.05 0.06 0.08 0.10 0.13 0.15 0.20 0.22 0.25 0.29 0.32 0.33 0.34 0.37 0.39 0.41 0.42 0.44 0.45 0.46 0.49 3.  Make a graph of the ordered pairs, with the year on the horizontal axis and the cost on the vertical axis. Describe the shape of the graph.",8,U.S. Postage Rates
9,U.S. Postage Rates,"4.  Between which years is the greatest  average rate of change? How did you determine this? 5.  On your graph, use a line to connect  the data points for 1928 and 2014. Then connect the data points from 1985 to 2008. Compare the lines. What do the lines tell you about the average rate of change?",9,U.S. Postage Rates
10,U.S. Postage Rates,"Carol Okigbo, okigbo@mnstate.edu, teaches in the mathematics department of Minnesota State University Moorhead. Abraham Ayebo, abraham.ayebo@ndsu.edu, teaches in the mathematics department of North Dakota State University in Fargo.",10,U.S. Postage Rates
11,U.S. Postage Rates,"Download one of the free apps for your smartphone, then scan this tag to access the Math for Real online solutions at http://www .nctm.org/mtms085.",11,U.S. Postage Rates
12,U.S. Postage Rates,NCTM Proudly Presents,12,U.S. Postage Rates
13,U.S. Postage Rates,Principles to Actions: Ensuring Mathematical Success for All,13,U.S. Postage Rates
14,U.S. Postage Rates,What it will take to turn the opportunity of the,14,U.S. Postage Rates
15,U.S. Postage Rates,"Common Core State Standards for Mathematics into reality in every classroom, school, and district.",15,U.S. Postage Rates
16,U.S. Postage Rates,"Continuing its tradition of mathematics education leadership, NCTM has undertaken a major initiative to deﬁne and describe the principles and actions, including speciﬁc teaching practices, that are essential for a high-quality mathematics education for all students.",16,U.S. Postage Rates
17,U.S. Postage Rates,"This landmark new title offers guidance to teachers, mathematics coaches, administrators, parents, and policymakers: •  Provides a research-based description of eight essential Mathematics",17,U.S. Postage Rates
18,U.S. Postage Rates,"Teaching Practices •  Describes the conditions, structures, and policies that must support the",18,U.S. Postage Rates
19,U.S. Postage Rates,"Teaching Practices •  Builds on NCTM’s Principles and Standards for School Mathematics and supports implementation of the Common Core State Standards for Mathematics to attain much higher levels of mathematics achievement for all students  •  Identiﬁes obstacles, unproductive and productive beliefs, and key actions that must be understood, acknowledged, and addressed by all stakeholders •  Encourages teachers of mathematics to engage students in mathematical thinking, reasoning, and sense making to signiﬁcantly strengthen teaching and learning www.nctm.org/PrinciplestoActions © April 2014, Stock #14861",19,U.S. Postage Rates
20,U.S. Postage Rates,List Price: $28.95  |  Member Price: $23.16 SAVE 25%! $21.71,20,U.S. Postage Rates
21,U.S. Postage Rates,Use code MTMS1114 when placing order.  Offer expires 1/31/15.*,21,U.S. Postage Rates
22,U.S. Postage Rates,Also available as an List Price: $4.99  |  Member Price: $3.99 ,22,U.S. Postage Rates
23,U.S. Postage Rates,INSIDE,23,U.S. Postage Rates
24,U.S. Postage Rates,Progress and Challenge,24,U.S. Postage Rates
25,U.S. Postage Rates,Effective Teaching and Learning,25,U.S. Postage Rates
26,U.S. Postage Rates,Essential Elements,26,U.S. Postage Rates
27,U.S. Postage Rates,Access and Equity,27,U.S. Postage Rates
28,U.S. Postage Rates,Curriculum Tools and Technology,28,U.S. Postage Rates
29,U.S. Postage Rates,Assessment Professionalism ,29,U.S. Postage Rates
30,U.S. Postage Rates,Taking Action,30,U.S. Postage Rates
