__id__,__filename__,text,,
0,Uncertainty and Complexity in Mathematical Modeling - National Council of Teachers of Mathematics,"Proclaiming that all mathematics teachers use models would not be an overstatement. Modeling is an effective tool to help students access mathematical concepts. Finding a math teacher who has not drawn a fraction bar or pie chart on the board would be difficult, as would finding students who have not been asked to draw models and represent numbers in different ways. During the authors combined years of teaching, our view of modeling and its connection to mathematics has changed. In our last three years of teaching together, models emerged as the central focus of a twelve-week unit of instruction, and we used models to think about how mathematics functions in and represents the world. This focus on models contributed to a shift in how students thought about mathematics and themselves as mathematicians. Modeling and the uncertainty inherent in it created a space of equity in our classrooms in which all students were creators of knowledge.",,
1,Uncertainty and Complexity in Mathematical Modeling - National Council of Teachers of Mathematics,"In our years of teaching eighth grade, we often met students who entered our classrooms either bored because they already knew the math or deflated from years of getting the wrong answers in math classes. Inevitably, during parent-teacher conferences at the beginning of the school year, more than a few parents would tell us that their child disliked math. However, in the years since we began the modeling unit, many students who disliked math at the beginning of the year would end the year enthused about it.",,
2,Uncertainty and Complexity in Mathematical Modeling - National Council of Teachers of Mathematics,"This change in students attitudes did not happen because we put an intervention in place for math fact fluency (although this was a practice at our school) or because we enforced stricter procedures to ensure more time on task. We believe that these changes in attitude occurred because students who had been taught that mathematics concerned only speed and accuracy came to view math as a complex subject that went beyond procedures. The students looked on us as being decidedly uncertain in class, and they learned that they could be uncertain, too. In this article, we will discuss (1) the properties of models and how they can function in the classroom; (2) the Hobby project, a performance assessment for systems of equations and modeling; and (3) a particular piece of student work that demonstrates the potential power of uncertainty in mathematics classrooms.",,
3,Uncertainty and Complexity in Mathematical Modeling - National Council of Teachers of Mathematics,PROPERTIES OF MODELS,,
4,Uncertainty and Complexity in Mathematical Modeling - National Council of Teachers of Mathematics,"Models are inherently uncertain things. They are abstractions. They cannot completely represent the item that they intend to represent. To make a model, a student must make decisions about what he or she thinks are the important attributes to represent and how best to represent them. She has to decide what can be left out and what can be an estimation or approximation. Creating a modelwhether it is the graph of a line, a pie chart, or something else entirelyis complex work. The great thing about modeling is that models are everywhere. Students just do not realize it.",,
5,Uncertainty and Complexity in Mathematical Modeling - National Council of Teachers of Mathematics,"In our classrooms, we used a project from earlier in the year as a jumping-off point to discuss modeling. However, you could build from any prior knowledge that your students bring to the classroom or that you have shared during the year. You might draw on previous experience in mathematics classrooms at your school or models that exist in the school building. For example, we discussed why mathematicians use letters (and most often particular letters) to represent variables in mathematical equations. What reasons might students give if asked this question? Is it a clarity issue? How might different letters work or not work? Could we try it out and see what we notice? Aside from mathematical examples, most classrooms or schools have models that are not so obvious. An emergency evacuation route sign is a good example of a model found in most classrooms. How are such signs simplified? Why? Using the examples of models as references, we introduced and agreed on a language of modeling (see fig. 1). We discussed how a model loses something in its representation and that the modeler must determine what is important to show and what can be left out. These decisions about what to focus on in a model are complex; there is not one right answer. Mathematicians tackle messy problems by mapping relationships and using inexact approximations that fit particular characteristics or attributes that are deemed most important. The mathematician makes an approximation and accepts the resulting uncertainty.",,
6,Uncertainty and Complexity in Mathematical Modeling - National Council of Teachers of Mathematics,,,
7,Uncertainty and Complexity in Mathematical Modeling - National Council of Teachers of Mathematics,"When we gave students the lens to view mathematics as modeling, we considered how we had already been using models in mathematics. When we graph a line in slope intercept form and use t tables, the line is a model. Although our students could graph lines, we wanted them to think about how the line works as a model. What does it represent? How well does it fit what it represents? How well would the audience understand the situation by looking at the model? Instead of just following conventions that tell us to label axes, students began to see that the decision to label an axis in a particular way affects how the audience reads the model. Students saw themselves as creators of models to be read rather than as producers of graphs to be graded.",,
8,Uncertainty and Complexity in Mathematical Modeling - National Council of Teachers of Mathematics,"In paying more attention to the context of problems and how to represent them, students noticed that some relationships between two variables are difficult to model with a straight line. For example, if the line y = 7.49x + 49 represents a typical eighth-grade problem of the cost of x t-shirts produced by a company that charges a $49.00 set-up fee and $7.49 per shirt, might the equation and line fail to capture some details? How might our model have to change if the company includes an extra charge for XXL shirts? What if we ordered a very small number of shirts or a very large number of shirts; might the company think differently about the pricing? And how might the line reflect that change?",,
9,Uncertainty and Complexity in Mathematical Modeling - National Council of Teachers of Mathematics,"When we encouraged uncertainty, we gave students space to be discerning communicators rather than rule followers. The students articulated why they would include the units on the x-axis, why they might choose a particular scale, and how using a different scale would produce a different effect. We could give students a checklist to assist them in these skills, but that would get to the surface aspects of mathematical communication only, and it would position the teachers as knowers who tell students the right way to make a graph. Uncertainty allowed the students participation in the mathematics to be more complex. To encourage reflection, we prompted students with questions adapted from Models-Based Science Teaching, outlined in figure 2.",,
