__id__,__filename__,text,,
0,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"Linear functions are an important part of the middle school mathematics curriculum. Students in the middle grades gain fluency by working with linear functions in a variety of representations (NCTM 2001). A card sort activity involving linear functions is an engaging way to synthesize concepts, including recognizing the importance of both the rate of change and vertical intercept in uniquely defining a linear function, interpreting vertical intercepts and rates of change in various contexts, and translating fluently among representations.",,
1,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"The use of a variety of representations allows students to make connections among the different ideas and helps deepen their understanding of the associated mathematical concepts. Students learn that although each representation can give the same information about the linear function, each representation provides a different perspective that makes understanding richer. In addition, this activity uses several of the mathematics teaching practices, highlighted in Principles to Actions: Ensuring Mathematical Success for All, including promoting reasoning and problem solving, using and connecting mathematical representations, and facilitating meaningful mathematical discourse (NCTM 2014).",,
2,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"This activity was used with five eighth-grade classes at three different schools. The activity contains 15 cards that can be sorted to create 4 sets of cards, with each set representing one particular linear function. Some cards will not fit into any set, which automatically increases the cognitive demand of the task.",,
3,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"Figure 1 shows one complete set of cards (cards 1, 8, and 15), which comprises a context, a graph, and an equation, but no table.",,
4,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,,,
5,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,REASONING WITH RATE OF CHANGE AND VERTICAL INTERCEPTS,,
6,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"To successfully sort the cards in this task, students must use reasoning and problem solving related to linear functions. For example, because the card sort contains three extra cards that have some similarities to the linear functions being sorted, it is important to analyze both the vertical intercept and the rate of change for each card to sort them accurately. In one eighth-grade class, nearly half the groups of students initially thought that cards 6, 10, and 14 made a set (see fig. 2).",,
7,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,,,
8,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"The set of cards shown in figure 2 deals with a $20.00 prepaid fare card for a city bus. When students were asked why they had placed these three cards together, most groups focused solely on the fact that these three representations all have the same vertical intercept of (0, 20). When pressed to explain their reasoning further, students also noticed that all the representations show the money remaining on the card getting smaller as the number of rides taken increases. Although these are important relationships, it is also vital to analyze the rate at which the money on the card decreases as the number of rides taken increases. On one hand, the table on card 14 shows the value being reduced by $3.00 for every 3 rides taken, for a decrease of $1.00 per ride. The table on card 12, on the other hand, shows the value being reduced by $3.00 for every 2 rides taken, for a decrease of $1.50 per ride. After reasoning about the situation further, all the groups were able to find the correct group of cards.",,
9,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"In class discussion, several students stated that they were too quick to pick the table on card 14 because it gave the vertical intercept in the table. One student shared an appropriate problem-solving technique of working backward to find a vertical intercept of (0, 20) for the table on card 12. She subtracted 2 from the x-value and added 3 to the y-value until she found the vertical intercept. To reinforce this problem-solving strategy, one class of students was asked, Look at the table on card 13. How would you find the vertical intercept if you didnt have the equation, graph, or context to look at?",,
10,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"A similar misconception occurred for a few groups when working to find a match for cards 2 and 5 (see fig. 3). These groups were able to explain how the context and equation matched, but struggled to find a graph or table to complete the set. Several groups initially thought the graph on card 9 completed the set. These groups again focused their attention on the vertical intercept of (0, 12) and did not consider the rate of change. Another group realized that the table or graph should show a decreasing relationship and chose the table on card 12 to complete the set. This group focused on the general pattern in the table but not the specific vertical intercept or the specific rate of change.",,
11,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,,,
12,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"By the end of the activity, students realized the need for knowing both rate of change and vertical intercept to match the different representations of a linear function. Several students commented that the extra cards made the activity challenging because it was impossible to just find the vertical intercept and be done. Students had to persevere to be sure that every point in a table matched the equation, graph, and context.",,
13,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"An appropriate way to allow students to extend their problem-solving and reasoning abilities is to discuss if it is really necessary to check every ordered pair to match two representations for a linear function. Interested students could explore why it is necessary to be sure that only two ordered pairs match. For other extensions to reinforce this concept, ask students to (1) create two linear functions that have the same vertical intercept but different rates of change or (2) create two linear functions that have the same rate of change but different vertical intercepts. Students could also create their own set of cards that they think would be challenging for other students to match.",,
14,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,INTERPRETING RATE OF CHANGE AND VERTICAL INTERCEPT IN CONTEXT,,
15,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"This activity offers students multiple opportunities to have productive mathematical discussions. Meaningful discourse involves developing understanding through discussion that includes sharing strategies and arguments. Such discussion is fostered when students work together to create sets of matching cards and resolve differences about which cards make a set. Such wide-ranging discussion helps to increase students understanding of vertical intercept and rate of change and their ability to distinguish between the two in a context. Consider, for example, the context given on card 15 (see fig. 4).",,
16,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,,,
17,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"Several groups of students debated whether the equation given on card 1 (y = 3x + 5) or the equation given on card 3 (y = 5x + 3) better represented the context found on card 15. These groups of students realized that the numbers 3 and 5 were important in the story and should show up in the equation, but they were not sure which number should go where. One student stated, Card 3 is almost the same equation as card 1. This students group was encouraged to discuss these questions posed by their teacher:",,
18,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,What would I spend if I went on 4 rides? On 6 rides?,,
19,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"What changes, based on the number of rides, and what stays the same?",,
20,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,How did you determine the cost for 6 rides?,,
21,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,These students decided to create a table of values around these questions and used those data to choose the appropriate linear equation. A key understanding that arose from the discussion involved the idea that the independent variable in this scenario serves to count up how many rides were purchased and so should be paired with the cost per ride (rate of change).,,
22,Understanding Linear Functions and their Representations - National Council of Teachers of Mathematics,"A similar opportunity for meaningful discussion arose when students were asked to create the missing representation for each set of cards. For example, the set consisting of cards 6, 10, and 12 (see fig. 2) was missing an equation. In one eighth-grade class, finding this equation turned into a good discussion point because not all groups had found the same equation and some groups were unable to find an equation at all. Equations found included the following:",,
