__id__,__filename__,text,__id__,__filename__
0,Using Google Apps to Develop the Mathematical Practices,quick reads a good idea in a small package,0,Using Google Apps to Develop the Mathematical Practices
1,Using Google Apps to Develop the Mathematical Practices,Using Google Apps to Develop the Mathematical Practices,1,Using Google Apps to Develop the Mathematical Practices
2,Using Google Apps to Develop the Mathematical Practices,"Rebecca D. Layton, Jo Ann Cady, and Christopher A. Layton rRecent recommendations for the  teaching of mathematics place an emphasis on the Common Core’s Standards for Mathematical Practice (SMP) (CCSSI 2010). The SMPs emphasize constructing viable arguments, critiquing the ideas of others, reasoning abstractly and quantitatively, and using computational procedures. These skills, including the use of technology, are also being advocated for success in the twenty-first century (Partnership for 21st Century Skills 2011). Many teachers embrace technology (e.g., tablets, SMART boards™, computers, and the Internet), believing that technology has the ability to change the face of education (De Bruyckere, Kirschner, and Hulshof 2016). However, we believe it is how the teacher uses these tools to enhance instruction and engage students that will influence learning. This article explains how one teacher used Google Apps for Education  to aid in the development of  ",2,Using Google Apps to Develop the Mathematical Practices
3,Using Google Apps to Develop the Mathematical Practices,"Edited by Alessandra King, alessandra .king@holton-arms.edu, Holton-Arms School, Bethesda, Maryland, and Julie Amador, jamador@uidaho.edu, University of Idaho, Coeur d’Alene. Readers are  encouraged to submit manuscripts through http://mtms.msubmit.net. ",3,Using Google Apps to Develop the Mathematical Practices
4,Using Google Apps to Develop the Mathematical Practices,Fig. 1 Students received the prompt (a) then shared their thoughts (b).,4,Using Google Apps to Develop the Mathematical Practices
5,Using Google Apps to Develop the Mathematical Practices,Tom vs. Tom,5,Using Google Apps to Develop the Mathematical Practices
6,Using Google Apps to Develop the Mathematical Practices,Which Tom is the better actor?,6,Using Google Apps to Develop the Mathematical Practices
7,Using Google Apps to Develop the Mathematical Practices,Two of the more prominent actors of the last thirty years are Tom Cruise and Tom Hanks. Use the websites below to search the data of the careers for each Tom. Use the data to answer the following two questions: 1.  Give one example of data supporting Tom Cruise as the better actor.,7,Using Google Apps to Develop the Mathematical Practices
8,Using Google Apps to Develop the Mathematical Practices,2.  Give one example of data supporting Tom Hanks as the better actor.,8,Using Google Apps to Develop the Mathematical Practices
9,Using Google Apps to Develop the Mathematical Practices,You can find data at these websites: 1.  http://www.the-numbers.com • Go to the website and click on the “people” tab.,9,Using Google Apps to Develop the Mathematical Practices
10,Using Google Apps to Develop the Mathematical Practices,• Click “People Index.” •  Find Tom Hanks and Tom Cruise (they are listed by last name).,10,Using Google Apps to Develop the Mathematical Practices
11,Using Google Apps to Develop the Mathematical Practices,"• Access Summary and Acting Credits, which are useful tables.",11,Using Google Apps to Develop the Mathematical Practices
12,Using Google Apps to Develop the Mathematical Practices,2. http://www.imdb.com •  Type a name into the search engine to find information about each actor.,12,Using Google Apps to Develop the Mathematical Practices
