__id__,__filename__,text,__id__,__filename__
0,Using History to Model with Mathematics: The German Tank Problem,USING HISTORY TO MODEL WITH MATHEMATICS: ,0,Using History to Model with Mathematics: The German Tank Problem
1,Using History to Model with Mathematics: The German Tank Problem,The German Tank Problem,1,Using History to Model with Mathematics: The German Tank Problem
2,Using History to Model with Mathematics: The German Tank Problem,"The German Tank Problem dDuring World War II, the ",2,Using History to Model with Mathematics: The German Tank Problem
3,Using History to Model with Mathematics: The German Tank Problem,"Allied Forces were concerned with the monthly production of tires, tanks, and other military equipment in Germany (Flaspohler and Dinkheller 1999; Ruggles and Brodie 1947). Knowing these production totals was important for international security. To determine military production, the Allied Forces in England recruited individuals from a wide range of educational and ",3,Using History to Model with Mathematics: The German Tank Problem
4,Using History to Model with Mathematics: The German Tank Problem,"George J. Roy, Jennifer A. Eli, Leslie Hendrix, and LuAnn Graul occupational backgrounds to help analyze serial numbers found on military equipment and to analyze secret codes (Pioneer Productions 2014). We used this historical context to challenge a class of twenty-six seventh-grade students to imagine themselves as one of these codebreaking analysts while studying random samples and learning to draw inferences about a population (CCSSI 2010).",4,Using History to Model with Mathematics: The German Tank Problem
5,Using History to Model with Mathematics: The German Tank Problem,The German Tank Problem,5,Using History to Model with Mathematics: The German Tank Problem
6,Using History to Model with Mathematics: The German Tank Problem,Historical events can provide effective contexts that not only pique the interest of students to model with mathematics but also create an opportunity to blur the boundaries between subject areas.,6,Using History to Model with Mathematics: The German Tank Problem
7,Using History to Model with Mathematics: The German Tank Problem,"In Principles to Actions: Ensuring Mathematical Success for All, NCTM has provided the mathematics community with a research-informed framework of high-leverage teaching practices (2014). Among the teaching practices advocated is the use of tasks that encourage mathematical reasoning through problem solving. Simultaneously, current college and career readiness standards highlight the mathematical practices that students should develop. One such practice is modeling with mathematics, a process whereby students investigate situations by developing representations that are continually confirmed, revised, refined, or rejected (Lesh and Lehrer 2003). Like the other mathematical practices, modeling with mathematics is grounded in the process standards highlighted in Principles and Standards for School Mathematics (NCTM 2000) and the mathematical proficiencies identified in Adding It Up: Helping Children Learn Mathematics (Kilpatrick,  Swafford, and Findell 2001). Students who are adept in modeling with mathematics use mathematics to understand the world around them. This point of emphasis is consistent with the Problem Solving Standard that compels teachers to challenge their students to recognize and apply mathematics to solve problems that arise outside of mathematics (NCTM 2000). Modeling is also reflected in a student’s strategic competence, one of the five strands of mathematical proficiency that explores students’ formulation, representation, and solution of mathematical problems (Kilpatrick,  Swafford, and Findell 2001). ",7,Using History to Model with Mathematics: The German Tank Problem
8,Using History to Model with Mathematics: The German Tank Problem,"It is often challenging for teachers to find real-world tasks that allow students to model with math. To address this hurdle, Usiskin (2015) proposes that mathematical modeling begin with a situation that people outside the mathematics classroom  want to solve. Modeling allows students to engage with real problems in their community (Hernández et al. 2016). Correspondingly, we have found that historical events provide effective interdisciplinary contexts that pique students’ interest in modeling with mathematics by blurring the boundaries between subject areas (Virtue 2007). ",8,Using History to Model with Mathematics: The German Tank Problem
9,Using History to Model with Mathematics: The German Tank Problem,THE GERMAN  TANK PROBLEM,9,Using History to Model with Mathematics: The German Tank Problem
