__id__,__filename__,text,,
0,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,"Cultures need to accurately record dates and times for various societal purposes, ranging from knowing when to plant crops to planning travel. In ancient times, the sun and moon were used as measurement devices because of the scientific understanding of the physical world at that time. Ancient timekeepers monitored celestial events and either used or discarded them, depending on whether or not they were useful as standard units.",,
1,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,"Ancient authors wove concepts of time into culturally powerful works of fiction and nonfiction. The rhythm of existence has been meticulously related to time, as evidenced by narrative stories, descriptive timelines, or recurring cycles found in texts. Other examples include mathematically sound time measurement practices that have been found in writings attributed to ancient civilizations.",,
2,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,"Our sixth-grade students understanding of time was enriched by a four-lesson sequence that integrated science (the constantly progressing lunar cycle), mathematics (what makes a good standard unit), and literacy (cultural events dependent on the time of year). This lesson sequence occurred during a summer camp attended by students who had an interest in science. The purpose of the week-long camp was to offer explorations in science, mathematics, and computer programming. Our team of university professors led the camp activities, which were developed in coordination with the students regular classroom teachers.",,
3,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,LESSON 1: LUNAR PHASES,,
4,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,"To engage in the lessons, students needed to understand the lunar phases. Having a conceptual awareness that moonlight is reflected sunlight, rather than light generated by the moon, was a crucial entry point in understanding lunar phases. To gather information about the students knowledge of the lunar cycle, we opened the morning with this question, Why does the shape of the moon change? Responses included, Earth is rotating, and we can only see part of it and The sun is eclipsing it. To address these misconceptions, we produced a set of carefully painted spheres, as represented in figure 1.",,
5,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,"We modeled the moon phases with eight spheres that were painted one-half black and one-half white, to represent the dark and light sides of the moon. These movable models showed relative locations of the sun, the moon, and Earth. Manipulating these materials demonstrated that sunlight was reflected and allowed the lesson to segue into a representation of the cyclic patterns of lunar phases as reflected sunlight.",,
6,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,"By directly manipulating the model, students recognized reasons for changes in the moons shape during a lunar cycle. We then asked students a series of follow-up questions, which were designed to foster their consideration of the moons appearance as being dependent on the viewers location. Students described the appearance of the moon as seen from Earth by coloring the eight moon phases, as shown in figure 2. These visual models helped students become aware of the reasons behind the changing appearance of the moon during different phases in the lunar cycle.",,
7,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,,,
8,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,"By describing the appearance of the moon in this way, we were able to name all the phases and label the spheres with their corresponding names, as shown in figure 3. To summarize this lesson, we explained that the regolith, the finely crushed rock-like powder on the moons surface, allows sunlight to be reflected. This reflective material allows the moon and its variety of shapes to be seen from Earth.",,
9,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,,,
10,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,"To prepare for the upcoming mathematics lesson, we needed students to recognize the difference between a month and a lunar cycle. We gave students a paper set of 12 months (from the current year) from which we had removed the months name. In small groups, the students sorted the months in order, using only the indicated moon phase images displayed on each day of each month (see fig. 4). Students relied on the pictures of the moon phases to help them order the months as soon as they grasped the nature of the mismatch between the phases of the moon and the 12-month calendar year. Our students studied the months and were ultimately able to state that the phases of the moon appeared to require between 29 and 30 days.",,
11,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,,,
12,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,"We were pleased with this conjecture and confirmed that the sequence of moon phases is, indeed, a 29.5 day lunar cycle.",,
13,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,"Students taped their yearlong calendars to the wall to keep the months in order. We asked them to (1) predict the lunar cycle for January of the next year, (2) highlight their birthdays on their calendars, and (3) predict the moon phase on their actual birth date (13 years earlier). After students made their predictions, they verified the moon phases on those dates by researching online (e.g., http://www.moonconnection.com/). Despite earlier statements that the moon phases did not match the months, many students were surprised to learn that the moons phase on their birth dates was not the same as the moon phase on their birthday of the current year.",,
14,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,LESSON 2: STANDARD UNITS,,
15,Using Moon Phases to Measure Time - National Council of Teachers of Mathematics,"Appropriately measuring time requires a conceptual awareness of characteristics that a time-based standard unit must possess. Knowing about standard units, making comparisons between standard units, and using a standard unit to record the size of an object are critical bits of information when learning to measure (Lehrer et al. 1999).",,
