__id__,__filename__,text,,
0,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,"Open-ended mathematical tasks provide great opportunities for students to engage in authentic mathematical practices, such as conjecturing, generalizing, and justifying. When students solve nonroutine problems, they must develop their own strategies, draw on different areas of mathematics content knowledge, and assess the validity of their solutions (Hiebert et al. 1996).",,
1,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,"Supporting students in open-ended tasks can be challenging. As teachers, we need to guide students toward the important mathematics of the task while allowing room for exploration. Appropriate scaffolding of a task has been linked to more opportunities for student learning and better student solutions (Mayer 2004; Henningsen and Stein 1997). But what does effective scaffolding look like? If there is too much structure, you give away the answers; if there is too little structure, it can lead to unsystematic exploration (Henningsen and Stein 1997; Hsu et al. 2009). We focused on how best to structure a scaling task to support student justifications.",,
2,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,"The JAGUAR project (Justification and Argumentations: Growing Understanding of Algebraic Reasoning) was a collaborative research and professional project that investigated justification in middle school classrooms. Each teacher implemented four justification tasks over one school year. After discussion and reflection, those same tasks were implemented a second time the next school year, with some modifications.",,
3,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,"One such problem was a task that explored how scaling the side lengths of two-dimensional figures impacted the area of the scaled-up figure. For example, suppose we start with a square with side lengths of 1 unit. If we scale up each side to be three times as long, the scaled-up square has an area that is nine times larger than the original, not three times larger, as students might expect (see fig. 1).",,
4,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,,,
5,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,"Our goal in the first year was for students to discover patterns in the relationship between scaling side lengths and the resulting area. In the second year, we shifted our math objective toward explaining why the relationship held, which improved student justifications. The tasks were implemented with different eighth-grade students from year to year, but the school and context remained the same.",,
6,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,YEAR 1: WHAT HAPPENED,,
7,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,"Students explored the side lengths and areas for many different figures and many different scale factors. Figure 2 displays the first-year task. The primary mathematical goal was for students to understand the relationship between scale factor and area of similar shapes by making observations about the numeric patterns. In addition, we expected students to generalize the relationship to any two-dimensional figure. While lesson planning, we decided among ourselves that requiring a justification will give students an opportunity to elaborate on observations they make about numeric patterns, so that they can construct the relationship between scale factor and area of similar shapes. Justification will also help students build the bridge between generalization and application.",,
8,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,,,
9,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,"The task prompted students to begin by filling in a table of the side lengths and areas of different shapes for different scale factors (see fig. 2). This table structure allowed students to work with the data to observe a pattern in the numerical values. By exploring a variety of different shapes, students could generalize their findings for other figures. In addition to filling out the table, students were asked:",,
10,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,1. What relationship do you notice between the scale factor and how the area changes from the original shape to each new shape?,,
11,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,"2. Explain how (and why, if you can) this relationship works.",,
12,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,"In a follow-up task, students were asked to apply what they had learned to an irregularly shaped figure (see fig. 3).",,
13,Using Scaffolding to Scale-up Justifications - National Council of Teachers of Mathematics,,,
