__id__,__filename__,text,__id__,__filename__
0,Using Tools to Make Sense of Right Triangles,Using Tools to Make Sense  of Right Triangles,0,Using Tools to Make Sense of Right Triangles
1,Using Tools to Make Sense of Right Triangles,"Terri L. Kurz and Mi Yeon Lee sSometimes, teaching mathematics  with a focus on conceptual understanding can be challenging. With the advent of standards and principles (CCSSI 2010; NCTM 2014) an emphasis has been placed on using tools for deeper mathematical understanding and learning with understanding. Specifically, there has been a movement to include opportunities for learners to engage in sense-making activities when exploring mathematical concepts (Schoenfeld 1992). Tools can be used to support sense making and the development of mathematical ideas, and numerous tools can support learning in geometry (e.g., geoboards, pattern blocks, three-dimensional shapes, and linking cubes). We focus on AngLegs®, which are linking rods that are becoming more common in the classroom.",1,Using Tools to Make Sense of Right Triangles
2,Using Tools to Make Sense of Right Triangles,"Edited by Alessandra King, alessandra .king@holton-arms.edu, Holton-Arms School, Bethesda, Maryland, and Julie Amador, jamador@uidaho.edu, University of Idaho, Coeur d’Alene. Readers are  encouraged to submit manuscripts through http://mtms.msubmit.net. ",2,Using Tools to Make Sense of Right Triangles
3,Using Tools to Make Sense of Right Triangles,"AngLegs are straight plastic tools that can be used to create polygons by easily connecting and disconnecting plastic pieces to test and retest conjectures. These tools are more effective than pencil-and-paper explorations in that they are durable, hands-on tools; they provide visual support so learners can easily measure angles or compare features without tedious constructions or calculations. There are six colors (lengths) that can be used to build polygons, along with a protractor. Pieces are of different colors, each color representing a different length; a decimal or whole-number value is printed on each: 7.07 cm, or 5 2 cm), 8.66 cm, or 5 3 cm), orange (5 cm), purple ( green ( yellow (10 cm), blue ( 12.24 cm, or 5 6 cm), and 14.14 cm, or 10 2 cm).",3,Using Tools to Make Sense of Right Triangles
4,Using Tools to Make Sense of Right Triangles,red ( (5 2 cm).,4,Using Tools to Make Sense of Right Triangles
5,Using Tools to Make Sense of Right Triangles,AngLegs can be used to explore a plethora of activities in geometry and are available at most educational supply stores or websites.,5,Using Tools to Make Sense of Right Triangles
6,Using Tools to Make Sense of Right Triangles,((5 2 cm),6,Using Tools to Make Sense of Right Triangles
7,Using Tools to Make Sense of Right Triangles,AngLegs were used as tools to = (10 2 cm) ).,7,Using Tools to Make Sense of Right Triangles
8,Using Tools to Make Sense of Right Triangles,"(5 6 cm) support preservice elementary and middle school teachers (PSTs) in a measurement and geometry content course. Among other ideas, AngLegs can be used to help learners develop right triangle concepts. The activities discussed here introduce the use of AngLegs to explore the Pythagorean theorem, irrational numbers as lengths of right triangles, and two special right triangles (45-45-90° and 30-60-90°). Although the activities were used  with future teachers, they can also be implemented with middle school students because the activities align with middle school course content. Our structure here emphasizes PSTs’ learning and development of critical curriculum at the middle school level; although the samples of student work are from PSTs, middle school students may certainly benefit from the curricular ideas presented here.",8,Using Tools to Make Sense of Right Triangles
9,Using Tools to Make Sense of Right Triangles,THE ACTIVITIES,9,Using Tools to Make Sense of Right Triangles
