__id__,__filename__,text,__id__,__filename__
0,Weaving Mathematical Concepts through Native American Baskets,“when will I ever use this?” math for real,0,Weaving Mathematical Concepts through Native American Baskets
1,Weaving Mathematical Concepts through Native American Baskets,Weaving Mathematical Concepts through Native American Baskets Joanne C. Caniglia,1,Weaving Mathematical Concepts through Native American Baskets
2,Weaving Mathematical Concepts through Native American Baskets,Math topics addressed: • Patterns • Symmetry • Functions tThe stunning natural beauty of ,2,Weaving Mathematical Concepts through Native American Baskets
3,Weaving Mathematical Concepts through Native American Baskets,"Arizona, New Mexico, southern Colorado, and Utah is indicative of the American Southwest and is reﬂ ected in Southwestern baskets. Many Southwestern basket weavers use coiling as their method of construction (see ﬁ g. 1). The following problems relate mathematics to the art of basket weaving, with an emphasis on coiling.  1.  The diameter of a basket graphed against the number of coils yields a linear function. Assume that the weaver would like to use a coil that is 1/4 inch in diameter. Find and graph this relationship. The equation gives basket weavers a sense of the diameter’s length before they make the basket (Explore Utah Science 2014).  2.  Basket designs often consist of  mathematical transformations. Using the basket shown in ﬁ gure 2, ﬁ nd the lines of reﬂ ective symmetry. Note: Because of the nature of coiling, the lines may be approximate.",3,Weaving Mathematical Concepts through Native American Baskets
4,Weaving Mathematical Concepts through Native American Baskets,"Edited by Crystal Kalinec-Craig, crystal.",4,Weaving Mathematical Concepts through Native American Baskets
5,Weaving Mathematical Concepts through Native American Baskets,"kalinec-craig@utsa.edu, University of Texas at San Antonio, and E. Fanny Sosenke, Avenues: The World School, New York, New York. Manuscripts should show how math is used to solve a real-life problem, preferably in the context of one’s profession, and should be no more than 300 words. Submit manuscripts through http://mtms.msubmit.net. ",5,Weaving Mathematical Concepts through Native American Baskets
6,Weaving Mathematical Concepts through Native American Baskets,"Fig. 1 This example of a Coil Basket is from the Sharlot Museum in Prescott, Arizona.",6,Weaving Mathematical Concepts through Native American Baskets
7,Weaving Mathematical Concepts through Native American Baskets,Fig. 2 Symmetry within Indian baskets is typical.,7,Weaving Mathematical Concepts through Native American Baskets
8,Weaving Mathematical Concepts through Native American Baskets,"3.  A set of simulations titled “Cultur- ally Situated Design Tools” was created to design patterns that are inherent to Latino and Native American cultures. The simulations are available as free applets online at http://csdt.rpi.edu/. Mathematical concepts include transformational geometry, Cartesian coordinates, angles, parabolas, and counting. Design a pattern using the tools. ",8,Weaving Mathematical Concepts through Native American Baskets
9,Weaving Mathematical Concepts through Native American Baskets,REFERENCE,9,Weaving Mathematical Concepts through Native American Baskets
10,Weaving Mathematical Concepts through Native American Baskets,"Explore Utah Science. 2013. “The Mathematical Mind of a Basket Weaver.” Science and Society, April. http://www.exploreutahscience.org/ science-topics/science-and-society/ item/107-the-mathematical-mind-ofa-basket-weaver",10,Weaving Mathematical Concepts through Native American Baskets
