__id__,__filename__,text,,
0,Welcome to the Real World - National Council of Teachers of Mathematics,.,,
1,Welcome to the Real World - National Council of Teachers of Mathematics,,,
2,Welcome to the Real World - National Council of Teachers of Mathematics,1. Explain why the employee in the cartoon believes that 2% of the bossâ€™s pay is greater than 3% of her pay. Give an example to support your argument.,,
3,Welcome to the Real World - National Council of Teachers of Mathematics,2. Suppose the boss is paid $72 per hour and the employee is paid $33 per hour.,,
4,Welcome to the Real World - National Council of Teachers of Mathematics,a. The boss and the employee each work 8 hours. How much more does the boss earn than the employee during 8 hours?,,
5,Welcome to the Real World - National Council of Teachers of Mathematics,b. How much would the boss earn per hour after a 2% increase? How much would the employee earn per hour after a 3% increase?,,
6,Welcome to the Real World - National Council of Teachers of Mathematics,"c. After the raises described in part b, how much more does the boss earn than the employee during 8 hours? Is this difference greater than or less than the difference in part a? By how much?",,
7,Welcome to the Real World - National Council of Teachers of Mathematics,3. You are calculating paychecks for the pay period after everyone received raises. The directorâ€™s former pay was $92 per hour before she got a 2% raise. The director worked a total of 71 hours this pay period. The employeeâ€™s starting pay was $41 per hour before he got a 3% raise. The employee worked 77 hours this pay period.,,
8,Welcome to the Real World - National Council of Teachers of Mathematics,a. How much would the director have been paid without her raise?,,
9,Welcome to the Real World - National Council of Teachers of Mathematics,b. How much more was the director paid with her raise?,,
10,Welcome to the Real World - National Council of Teachers of Mathematics,c. How much would the employee have been paid before receiving the raise?,,
11,Welcome to the Real World - National Council of Teachers of Mathematics,d. How much more was the employee paid with the raise?,,
12,Welcome to the Real World - National Council of Teachers of Mathematics,e. How much more did the director get paid than the employee during this pay period?,,
13,Welcome to the Real World - National Council of Teachers of Mathematics,"4. You and a friend each begin jobs at different companies that pay $40,000 per year. You earn a 4% yearly raise at the end of each year for 3 years (compounded). Your friend earns a year-end bonus of $1,750 each year (not compounded).",,
14,Welcome to the Real World - National Council of Teachers of Mathematics,a. How much will you earn during your first year? Your third year?,,
15,Welcome to the Real World - National Council of Teachers of Mathematics,"b. Over the 3-year period, what is the total amount that you will earn? What is the total amount that your friend will earn? Who will earn more? How much more?",,
16,Welcome to the Real World - National Council of Teachers of Mathematics,"c. Suppose your company continues its policy of annual raises and your friendâ€™s company continues with year-end bonuses. In the long run, who will likely earn more: You or your friend?",,
17,Welcome to the Real World - National Council of Teachers of Mathematics,CHALLENGE,,
18,Welcome to the Real World - National Council of Teachers of Mathematics,"5. A boss is paid $100,000 per year and receives a 2% raise for next year. The employee is paid $60,000 per year. What percentage yearly raise does the employee need to receive for the boss and the employee to collect equal pay for next year?",,
19,Welcome to the Real World - National Council of Teachers of Mathematics,SOLUTIONS,,
20,Welcome to the Real World - National Council of Teachers of Mathematics,"Many of the questions in this Cartoon Corner were created by Taylor Fuller, Codie Manson, Jessie Newcomer, and Jill Tucker at Capital University, Columbus, Ohio.",,
21,Welcome to the Real World - National Council of Teachers of Mathematics,"1. A boss usually earns more money than an employee, so a 2 percent increase for the boss is likely greater than a 3 percent increase for the employee. Sample solution: Suppose the boss earns $80,000.00 per year, and the employee earns $40,000.00 per year. A 2 percent increase for the boss would be 0.02 â€¢ $80,000.00, or $1,600.00. A 3 percent increase for the employee would be 0.03 â€¢ $40,000.00, or $1,200.00. In this example, the bossâ€™s salary increases by $400.00 more than the employeeâ€™s.",,
