__id__,__filename__,text,__id__,__filename__
0,"Were in Math Class Playing Games, Not Playing Games in Math Class","Students play commercial games of strategy, which illuminate their reasoning and thinking. Isn’t it time your students spent some time in math class playing games?",0,"Were in Math Class Playing Games, Not Playing Games in Math Class"
1,"Were in Math Class Playing Games, Not Playing Games in Math Class","WE’RE IN MATH CLASS PLAYING GAMES, ",1,"Were in Math Class Playing Games, Not Playing Games in Math Class"
2,"Were in Math Class Playing Games, Not Playing Games in Math Class",NOT PLAYING  GAMES IN  MATH CLASS,2,"Were in Math Class Playing Games, Not Playing Games in Math Class"
3,"Were in Math Class Playing Games, Not Playing Games in Math Class",P. Janelle McFeetors and Kylie Palfy,3,"Were in Math Class Playing Games, Not Playing Games in Math Class"
4,"Were in Math Class Playing Games, Not Playing Games in Math Class","The classroom is alive with chatter, laughter, and occasional groans. Students are intensely focused on the matter at hand: winning. Gobblet Gobblers, Tic Stac ToeTM, Othello, and Go strategy games are set up at tables, on the floor, and in reading corners. To a casual observer, this might look like a social gathering in school, but it is not recess and not play time. There is an intensity to the reasoning in play. Students are forming conjectures, explaining moves, and justifying their strategies. Students described the scene in this way: “We’re in math class playing games, not playing games in math class.” ",4,"Were in Math Class Playing Games, Not Playing Games in Math Class"
5,"Were in Math Class Playing Games, Not Playing Games in Math Class",These early experiences of reasoning while playing  games of strategy are foundational for future proofs that students will be expected to build using conventionally structured arguments. But how did game  playing in school occur? How can we be sure that mathematical reasoning is going on? We investigated these questions to understand how to improve students’ reasoning. ,5,"Were in Math Class Playing Games, Not Playing Games in Math Class"
6,"Were in Math Class Playing Games, Not Playing Games in Math Class","Knowing that reasoning is a cornerstone of success in mathematics (CCSSI 2010; NCTM 2014), we believed that it was important to focus on logical thinking as a mathematical practice. We chose the context of abstract strategy games because games in this category depend on logical reasoning for players to win. In fact, the games require logic to move from singular moves to effective  strategies. We also wanted students to value reasoning as an integral part of thinking mathematically, which could then be applied across all mathematics content.",6,"Were in Math Class Playing Games, Not Playing Games in Math Class"
7,"Were in Math Class Playing Games, Not Playing Games in Math Class","We use Reid’s (2002) definition of  mathematical reasoning as an overall, systematic, and logical pattern of behavior. In this article, we share two pedagogical practices: setting the stage and purposeful prompting. The intention is to describe the pedagogic decisions that led to an environment in which reasoning developed through sustained engagement. We then illustrate the qualities of stu-  P.",7,"Were in Math Class Playing Games, Not Playing Games in Math Class"
8,"Were in Math Class Playing Games, Not Playing Games in Math Class",dents’ emergent reasoning as patterns of thinking to legitimize a focus on learning reasoning.,8,"Were in Math Class Playing Games, Not Playing Games in Math Class"
9,"Were in Math Class Playing Games, Not Playing Games in Math Class",SETTING THE STAGE,9,"Were in Math Class Playing Games, Not Playing Games in Math Class"
10,"Were in Math Class Playing Games, Not Playing Games in Math Class","The creation of the educative environment was not accidental pedagogically. We collaborated with a teacher, Nancy, to explore how commercially available games could support emerging reasoning in her multi-aged grade 5 and 6 class. We chose games that were strategic and contained no element of chance. Players are required to develop and defend effective strategies to win. (See the sidebar on  page 543 for game descriptions.)",10,"Were in Math Class Playing Games, Not Playing Games in Math Class"
11,"Were in Math Class Playing Games, Not Playing Games in Math Class","The desire to determine how to win encouraged students to engage in the Standard for Mathematical Practice (SMP) 3: “Construct viable arguments and critique the reasoning of others” (CCSSI 2010, p. 6). The games provided opportunities for students to analyze specific moves, make conjectures about those moves in alternate situations, test those moves to convince themselves and others they worked, and generalize toward strategies that required justification and judgment. The veracity of the reasoned arguments was evaluated within the game play to decide on their defensibility.",11,"Were in Math Class Playing Games, Not Playing Games in Math Class"
12,"Were in Math Class Playing Games, Not Playing Games in Math Class","Rather than simply exploring the  games, Nancy set the expectation that expert, strategic players continually refine strategies based on inductive reasoning. Given specific board arrangements, the students then determine weaknesses and strengths of strategies. Owen, one of the students, recognized that as an expert he needed to show that he had “a good chance of winning and a lot of strategies” each time he played. However, we knew that eliciting reasoning would require more than just an engaging context. We also intentionally shifted students’ focus to emphasize the strategic aspects of game play.",12,"Were in Math Class Playing Games, Not Playing Games in Math Class"
13,"Were in Math Class Playing Games, Not Playing Games in Math Class","Even though these are two-player  games, students initially played as partners against another pair of students. The structure was intentional because collaboration and discussion in a social context are integral to the thoughtful construction of reasoning (Graves 2011; Olson 2007). When partnerships became a matter of choice, Nancy reminded the students to “pick a mathematically productive partner—someone who challenges you to think hard and generate new ideas.” As students played alongside each other, they collaboratively investigated strategies and explained their reasons for suggesting particular moves.",13,"Were in Math Class Playing Games, Not Playing Games in Math Class"
14,"Were in Math Class Playing Games, Not Playing Games in Math Class","During game play, the collaboration between students and across opposing pairs was also encouraged through listening to and analyzing strategies being shared. As teachers and researchers, we modeled listening by sitting with groups of students attuned to the explanations given for moves. When we heard compelling reasoning, we wrote down students’ comments to document their mathematical thinking. Nancy explained this as a powerful practice: ",14,"Were in Math Class Playing Games, Not Playing Games in Math Class"
15,"Were in Math Class Playing Games, Not Playing Games in Math Class","We were copying down what they said so that they could see what we privileged as information and got excited about. And they started to think about why that was important, and why their ideas were meaningful. And then they started to build on that.",15,"Were in Math Class Playing Games, Not Playing Games in Math Class"
16,"Were in Math Class Playing Games, Not Playing Games in Math Class","While we listened and documented their comments, students realized that we valued their reasoning. In turn, recognizing the value of students’ moves as reasoned play encouraged them to develop more sophisticated reasoning and evaluate justifications. For example, Floyd asked his partner while playing Gobblet Gobblers, “Why do you use a triangle strategy?” Partner Sasha ",16,"Were in Math Class Playing Games, Not Playing Games in Math Class"
17,"Were in Math Class Playing Games, Not Playing Games in Math Class",Fig. 1 These prompts were meant to elicit reasoning.,17,"Were in Math Class Playing Games, Not Playing Games in Math Class"
18,"Were in Math Class Playing Games, Not Playing Games in Math Class",Analyzing specific moves: • Why is that a good opening move to make? • Is it better to be the first or the second player? Why?,18,"Were in Math Class Playing Games, Not Playing Games in Math Class"
19,"Were in Math Class Playing Games, Not Playing Games in Math Class","Representing moves: •  Do you spend more time trying out possible moves with a playing piece on  the board, or just looking at the board?",19,"Were in Math Class Playing Games, Not Playing Games in Math Class"
20,"Were in Math Class Playing Games, Not Playing Games in Math Class",Justifying moves: • Can you explain why you made that move? • What did you do so as not to give your opponent an advantage? • How were you able to block your opponent from making a good move?,20,"Were in Math Class Playing Games, Not Playing Games in Math Class"
21,"Were in Math Class Playing Games, Not Playing Games in Math Class",Generalizing toward strategies: •  What names did you make up for your moves or arrangements to help talk  with your partner? • At what point in the game was that useful?,21,"Were in Math Class Playing Games, Not Playing Games in Math Class"
22,"Were in Math Class Playing Games, Not Playing Games in Math Class",Modifying strategies: • What tic tac toe strategy helped you play Gobblet Gobblers? Tic Stac Toe? • Did your strategy change while you were playing? How?,22,"Were in Math Class Playing Games, Not Playing Games in Math Class"
23,"Were in Math Class Playing Games, Not Playing Games in Math Class",Fig. 2 Kurt made a convincing argument for a move while playing Othello.,23,"Were in Math Class Playing Games, Not Playing Games in Math Class"
24,"Were in Math Class Playing Games, Not Playing Games in Math Class","“If we place here, they’d get a corner, so that’s not good. You’ve got to look at the long run. . . . You have to fully look at it. You might get some now but then lose them.” responded, “Because it gives me more options.” Floyd’s question resulted in Sasha explaining that the move produced multiple ways to win. The offensive gain indicated an important strategy similar to tic tac toe as Floyd accepted Sasha’s reason for her placement of pieces. Students saw each other’s strategies and defenses as valuable and were afforded the opportunity to develop reasoning within an authentic context of playing a game.",24,"Were in Math Class Playing Games, Not Playing Games in Math Class"
