__id__,__filename__,text,,
0,Whats In A Name_ - National Council of Teachers of Mathematics,"Middle school students are intrigued when they meet someone new or find a classmate who shares their first name. Historically, some baby names have been more popular during a specific time span, whereas other names are considered timeless. The Internet article, â€œHow to Tell Someoneâ€™s Age When All You Know Is Her Nameâ€ (Silver and McCann 2014), describes the phenomenon of the rise and fall of name popularity, which served as a catalyst for the activity we presented to students. We engaged sixth-grade students in a prediction, data collection, organization, analysis, and interpretation activity by exploring the frequency of names in three generations. Students at 11 middle schools collected and submitted first name and age data for themselves, siblings, parents (or guardians), and grandparents (or other older relatives), providing a total sample of 7435 first names and ages. We posed a series of questions about predictions; popular names and their frequencies; measures of central tendency and clustering; representative sampling; and possible reasons why some names may be prevalent during particular time periods. As a culminating project, students worked in teams to design and present a business plan for a mall kiosk selling personalized name items. Our activity was implemented in a sixth-grade class taught by one of the authors.",,
1,Whats In A Name_ - National Council of Teachers of Mathematics,"This activity aligns with several Common Core State Standards for Mathematics (CCSSM) clusters in the Statistics and Probability domain for sixth grade, including Develop understanding of statistical variability (6.SP.2 and 6.SP.3) and Summarize and describe distributions (6.SP.5). Moreover, it addresses several of the Common Coreâ€™s Standards for Mathematical Practice, such as SMP 3: Construct viable arguments and critique the reasoning of others, whereby students, â€œreason inductively about data, making plausible arguments that take into account the context from which the data aroseâ€ (p. 7); and SMP 4: Model with mathematics, which states, â€œMathematically proficient students can apply the mathematics they know to solve problems arising in everyday life, society, and the workplaceâ€ (p. 7). NCTMâ€™s Principles to Actions: Ensuring Mathematical Success for All (2014) advocates eight high-leverage mathematics teaching practices to guide teachers in effective mathematics instruction. We believe that this activity provides a model for two of these mathematics teaching practices. First, it models Implement tasks that promote reasoning and problem solving because students were engaged in a culminating project that required them to reason mathematically and allowed for varied solution strategies. Second, it models Support productive struggle in learning mathematics as students authentically grappled with this real-life task. They were not told how to solve the problem; instead, the teacher offered support in a way that required students to do the critical thinking and struggle through the problem-solving process.",,
2,Whats In A Name_ - National Council of Teachers of Mathematics,LESSON DESCRIPTION,,
3,Whats In A Name_ - National Council of Teachers of Mathematics,Overview,,
4,Whats In A Name_ - National Council of Teachers of Mathematics,The framework provided by the GAISE report (Franklin et al. 2005) guided the structure of this activity. The GAISE report recommends that students engage in statistical tasks in which they (1) formulate questions; (2) collect data; (3) analyze data; and (4) interpret results (p. 11). The initial question we posed was this:,,
5,Whats In A Name_ - National Council of Teachers of Mathematics,"What are the most popular names for both males and females in three different generations (students and siblings, parents, and grandparents)?",,
6,Whats In A Name_ - National Council of Teachers of Mathematics,Data Collection Process,,
7,Whats In A Name_ - National Council of Teachers of Mathematics,"After posing our initial question, we wanted students to collect their own data and create their own data set. We also wanted to incorporate the use of spreadsheets as a data management tool, so that students could experience firsthand a situation for which technology was needed to enter and organize data in a manageable, efficient way. For popular names to present themselves as a pattern in the data, a large sample was necessary. Therefore, in addition to our own class of students collecting data, we enlisted the help of students from 10 other schools. With principals and teachers on board in our building and at neighboring schools, we had more than 1000 data collection sheets submitted, which contained a total sample of 7435 first names with corresponding ages. See figure 1 for the data collection sheet.",,
8,Whats In A Name_ - National Council of Teachers of Mathematics,,,
9,Whats In A Name_ - National Council of Teachers of Mathematics,"As the completed data collection sheets came in, the authors, the sixth-grade students, and another teacher took part in the data entry. A shared spreadsheet (see fig. 2) was used, which allowed students in the participating class (students had 1-to-1 Chromebooks at their school) as well as the authors to collaborate on simultaneous data entry through this shared document.",,
10,Whats In A Name_ - National Council of Teachers of Mathematics,,,
11,Whats In A Name_ - National Council of Teachers of Mathematics,"An edited version of the complete data, in Excel-sheet form, can be found as a more4U with this article at http://www.nctm.org/mtms.",,
12,Whats In A Name_ - National Council of Teachers of Mathematics,"In addition, we wanted students to work with a data set that included subsets of data so that we could assign groups of students to different generations, which was our reason, in part, for organizing students and siblings, parents, and grandparents as different categories on the data collection sheet. The original data set contained 1997 different names with a total sample size of 7435. For the database to be manageable for students, we created a second version including only names that occurred at least twice. This brought us to 908 different names (e.g., 908 rows in the spreadsheet) with a total sample size of 6360. As a warm-up activity, students made predictions about name popularity and real-life connections using the entrance slip shown in figure 3.",,
13,Whats In A Name_ - National Council of Teachers of Mathematics,,,
14,Whats In A Name_ - National Council of Teachers of Mathematics,"To our surprise, students did not devise a list of names as easily as we thought they would, but they eventually arrived at reasons for the changing frequency of names as a result of popular movies (such as Bella and Jacob from the movie Twilight). One student conjectured that perhaps names from the British show Dr. Who might be popular in Great Britain.",,
15,Whats In A Name_ - National Council of Teachers of Mathematics,Data Analysis and Interpretation,,
