__id__,__filename__,text,,
0,Window on Resources (April 2016) - National Council of Teachers of Mathematics,Books and Products,,
1,Window on Resources (April 2016) - National Council of Teachers of Mathematics,FROM NCTM,,
2,Window on Resources (April 2016) - National Council of Teachers of Mathematics,"Individual NCTM members receive a 20% discount on NCTM publications. To order, visit www.nctm.org/catalog.",,
3,Window on Resources (April 2016) - National Council of Teachers of Mathematics,,,
4,Window on Resources (April 2016) - National Council of Teachers of Mathematics,"Putting Essential Understanding of Geometry into Practice, 912",,
5,Window on Resources (April 2016) - National Council of Teachers of Mathematics,"Robert N. Ronau, Dan Meyer, Terry Crites, Barbara J. Dougherty, eds., 2015. Foreword by Linda M. Gojak. 205 pp., $37.95 paper. ISBN 978-0-87353-736-0. Stock no. 14546. National Council of Teachers of Mathematics; http://www.nctm.org.",,
6,Window on Resources (April 2016) - National Council of Teachers of Mathematics,"I appreciate how this resource provided a student-centered perspective with an approach to mathematics through problem solving (p. 6). This perspective effectively aligns with the vision and position of NCTMs Principles to Actions: Ensuring Mathematical Success for All and the Mathematics Teaching Practices (MTPs). For example, one of the eight MTPs in Principles to Actions is Implementing tasks that promote reasoning and problem solving; this resource provides tasks such as this as well as highlighting characteristics of high-quality tasks.",,
7,Window on Resources (April 2016) - National Council of Teachers of Mathematics,"Explicitly stating misconceptions that students have about some geometric concepts is another strength of the resource. I find this attribute to be insightful and of great value to me when it comes to planning and anticipating student thinking as well as task selection and the questions I might pose to my students. One such misconception was about reflections, that reflection lines must be horizontal or vertical (p. 60). This is very much in line with what I have seen from the students I teach.",,
8,Window on Resources (April 2016) - National Council of Teachers of Mathematics,"I appreciated the progression of chapter 2, Transformations. This chapter focused first on the general conception of transformations and kept the focus on the development of this conception and rooting out the misconceptions related to transformations before moving to the coordinate plane and connecting the work of transformations to coordinates. Again, a strong example of building procedural fluency from conceptual understanding from Principles to Actions.",,
9,Window on Resources (April 2016) - National Council of Teachers of Mathematics,"This resource provides a solid pedagogical perspective, a wealth of research, insightful thoughts on integration of proof, and other content across the curriculum as well as tasks and ideas for assessing student thinking. Once again, NCTM is supporting the work of quality mathematical teaching and learning for all students through this resource.",,
10,Window on Resources (April 2016) - National Council of Teachers of Mathematics,Travis Lemon,,
11,Window on Resources (April 2016) - National Council of Teachers of Mathematics,Alpine School District,,
12,Window on Resources (April 2016) - National Council of Teachers of Mathematics,"American Fork, Utah",,
13,Window on Resources (April 2016) - National Council of Teachers of Mathematics,FROM OTHER PUBLISHERS,,
14,Window on Resources (April 2016) - National Council of Teachers of Mathematics,Advanced Common Core Math Explorations: Fractions,,
15,Window on Resources (April 2016) - National Council of Teachers of Mathematics,"Jerry Burkhart, 2015. Gr. 58, 158 pp., $29.95 paper. ISBN 9781618212658. Prufrock Press; http://www.prufrock.com.",,
16,Window on Resources (April 2016) - National Council of Teachers of Mathematics,"Advanced Common Core Math Explorations: Fractions offers a sequenced collection of nine ready-to-use explorations, targeted to gifted and talented students in grades 58, but accessible to any student who would like to pursue the challenge.",,
