__id__,__filename__,text,__id__,__filename__
0,Window on Resources - August 2014,"Copyright © 2014 The National Council of Teachers of Mathematics, Inc. www.nctm.org. All rights reserved. This material may not be copied or distributed electronically or in any other format without written permission from NCTM.",0,Window on Resources - August 2014
1,Window on Resources - August 2014,Books,1,Window on Resources - August 2014
2,Window on Resources - August 2014,FRoM nctM,2,Window on Resources - August 2014
3,Window on Resources - August 2014,"Individual NCTM members receive a 20 percent discount on NCTM publications. To order, visit the NCTM online catalog at www.nctm.org/catalog, or call toll free (800) 235-7566 to order or request a free print catalog.",3,Window on Resources - August 2014
4,Window on Resources - August 2014,high‑Yield Routines for grades k  –8,4,Window on Resources - August 2014
5,Window on Resources - August 2014,"Ann McCoy, Joann Barnett, and  Emily Combs, 2013. 86 pp., $24.95 paper. ISBN 978‑0‑87353‑719‑3. Stock no. 14405. National Council of Teachers of Mathematics;  www.nctm.org.",5,Window on Resources - August 2014
6,Window on Resources - August 2014,"High-Yield Routines for Grades K  –8, by McCoy, Barnett, and Combs, provides the K–grade 8 classroom teacher with seven different, easily implemented routines that will increase students’ depth of understanding. The routines are quick, are adaptable to a wide variety of concepts and grade levels, and are accessible to all students. The routines also incorporate both writing and discussion components to allow students to demonstrate the logical development of their thinking strategies and to help the teacher understand student ",6,Window on Resources - August 2014
7,Window on Resources - August 2014,"Prices on software, books, and materials are subject to change. Consult the suppliers for the current prices. The comments reflect the reviewers’ opinions and do not imply endorsement by the National Council of Teachers of Mathematics.",7,Window on Resources - August 2014
8,Window on Resources - August 2014,strengths and weaknesses.,8,Window on Resources - August 2014
9,Window on Resources - August 2014,"Each chapter opens with an overview of the routine. The rest of the chapter explains how it can be implemented at a variety of grade levels and in a variety of ways. The authors explain how to differentiate and extend the routines throughout the school year to increase the development of number sense and the ability to discuss mathematics in a coherent manner using the correct vocabulary. The routines can all be used for a variety of content areas. The “Alike and Different” routine asks students to compare two or more numbers, properties, shapes, formulas, or any other concept using lists or Venn diagrams. The comparisons help students see relationships between the concepts and develop sequential thinking. The comparisons are also discussed to demonstrate the variety of thought strategies.",9,Window on Resources - August 2014
