__id__,__filename__,text,__id__,__filename__
0,Window on Resources - February 2014,"window on resources book, product, & software reviews",0,Window on Resources - February 2014
1,Window on Resources - February 2014,BooKs,1,Window on Resources - February 2014
2,Window on Resources - February 2014,FRoM nctM,2,Window on Resources - February 2014
3,Window on Resources - February 2014,"Individual NCTM members receive a 20 percent discount on NCTM publications. To order, visit the NCTM online catalog at www.nctm.org/catalog, or call toll free (800) 235-7566 to order or request a free print catalog.",3,Window on Resources - February 2014
4,Window on Resources - February 2014,cartoon corner 2,4,Window on Resources - February 2014
5,Window on Resources - February 2014,"Peggy A. House, ed., 2013.  Gr. 6-12, 120 pp., $28.95 paper. ISBN 978-0-87353-718-6.  Stock no. 14373. National Council  of Teachers of Mathematics;  www.nctm.org.",5,Window on Resources - February 2014
6,Window on Resources - February 2014,Cartoon Corner 2 offers a fun and humorous way to engage middle school students in mathematics. The cartoons and activities can be modified to fit various levels and objectives. The book includes solutions as well as comments from ,6,Window on Resources - February 2014
7,Window on Resources - February 2014,"Prices on software, books, and materials are subject to change. Consult the suppliers for the current prices. The comments reflect the reviewers’ opinions and do not imply endorsement by the National Council of Teachers of Mathematics.",7,Window on Resources - February 2014
8,Window on Resources - February 2014,"teachers who have already used the activities. The field-test comments include ideas on how to implement the cartoons in a lesson and where students may struggle. That section, as well as “Other Ideas,” provides information about how to incorporate, modify, or extend the activities.",8,Window on Resources - February 2014
9,Window on Resources - February 2014,"This resource is for middle school  teachers of all levels because the concepts are adaptable. Although the book is organized by theme, I would recommend reading through the entire book before deciding how each cartoon fits into your particular curriculum. As stated in the book, the cartoons can be used for a variety of purposes, such as introducing a new concept, practicing or reviewing, developing general problem-solving skills, and as extension activities. I used “What’s My Number?” with my eighth-grade prealgebra classes as a tool to launch a discussion of proof and how we can show that something always works versus how we can prove if something does not always work. This activity could easily be adapted and used in a lesson to introduce the distributive property, to reinforce the importance of mental math skills, or to develop problem-solving strategies like making a table.",9,Window on Resources - February 2014
10,Window on Resources - February 2014,—Emily Mazur,10,Window on Resources - February 2014
11,Window on Resources - February 2014,Lied Middle School,11,Window on Resources - February 2014
12,Window on Resources - February 2014,"Las Vegas, Nevada",12,Window on Resources - February 2014
13,Window on Resources - February 2014,FRoM otheR PUBlisheRs,13,Window on Resources - February 2014
14,Window on Resources - February 2014,Key ideas in teaching  Mathematics: Research-Based guidance for ages 9–19,14,Window on Resources - February 2014
15,Window on Resources - February 2014,"Anne Watson, Keith Jones and Dave Pratt, 2013. 264 pp., $39.95 paper. ISBN 978-0-19-966551-8. Oxford University Press; www.oup.com.",15,Window on Resources - February 2014
16,Window on Resources - February 2014,"Teachers, teacher educators, textbook writers, and mathematics curriculum policymakers at the secondary level will benefit from internationally researched knowledge about mathematics teaching and learning funded by the Nuffield Foundation. The authors identify seven key mathematical domains of research that include relations between quantities and algebraic expressions, ratio and proportional reasoning, connecting measurement and decimals, spatial and geometric reasoning, reasoning about data, reasoning about uncertainty, and functional relations between variables. Each chapter is devoted to, and includes a discussion of, the domain, what younger students learn, students’ learning and the learner’s progression, research into teaching and learning, and teaching approaches.",16,Window on Resources - February 2014
17,Window on Resources - February 2014,"The bottom-up approach of this book, identifying what mathematics  young students might already know before they arrive in secondary school, is especially benefi cial to secondary educators. Web resources hosted by the Nuffi eld Foundation are provided throughout that can be accessed through the associated website or Quick Response codes. The in-depth research-based approach to big ideas about mathematics teaching and learning presented in this book is a valuable resource as we strive to implement the Common Core.  —Winnie J. Peterson",17,Window on Resources - February 2014
18,Window on Resources - February 2014,Johns Hopkins University,18,Window on Resources - February 2014
19,Window on Resources - February 2014,"Baltimore, Maryland",19,Window on Resources - February 2014
20,Window on Resources - February 2014,PRodUcts,20,Window on Resources - February 2014
21,Window on Resources - February 2014,Boardworks Middle school Math for the common core state standards 2012. $1499-$2499. CD for use with interactive whiteboard or LCD projector (price based on 300–599 students enrolled). Boardworks Education; www.boardworkseducation.com.,21,Window on Resources - February 2014
22,Window on Resources - February 2014,"This software assists middle school mathematics teachers in instruction of the Common Core State Standards for Mathematics. From the main menu, the teacher may either browse by Common Core state-aligned standards or by selected topics. Topics include ratios and proportional relationships, the number system, expressions and equations, geometry, statistics and probability, and functions.",22,Window on Resources - February 2014
23,Window on Resources - February 2014,"Five colorful icons help the teacher  easily navigate a series of engaging and interactive slides. Three of the icons lead to slides assisting in the development of the Common Core Standards for Mathematical Practices, modeling mathematics, and providing opportunities for class discussion  and group work. Another icon enables Flash® interactive activities that include both practice and assessment items. Students interact with text by clicking on essential academic vocabulary to reveal its defi nition. They can also drag vertices to change angle measures in triangles; roll dice to explore probability; and use highlighters, colored pens, a calculator, a protractor, and other math tools as needed to enable learning. A fi nal icon provides teacher notes with explanations, as well as other ideas for further exploration and extending the lesson. Some slides are editable, so the teacher can add district and local resources as needed. The software package includes ready-made PowerPoint® slides intended for use with an interactive whiteboard or LCD projector for whole class discussions. ",23,Window on Resources - February 2014
24,Window on Resources - February 2014,My students and I found this  resource to be very user-friendly and highly engaging. I recommend it without reservation.,24,Window on Resources - February 2014
25,Window on Resources - February 2014,—Lois Elkins Coles,25,Window on Resources - February 2014
26,Window on Resources - February 2014,Brentwood Middle School,26,Window on Resources - February 2014
27,Window on Resources - February 2014,"Brentwood, Tennessee",27,Window on Resources - February 2014
28,Window on Resources - February 2014,MTMS NEEDS YOU! ,28,Window on Resources - February 2014
29,Window on Resources - February 2014,"If you would like to referee  manuscripts or review books and products for Mathematics Teaching  in the Middle School, visit  www.nctm.org/mtms  or e-mail mtms@nctm.org  for information.",29,Window on Resources - February 2014
