__id__,__filename__,text,__id__,__filename__
0,Working with Noise in Bivariate Data,"Learning to work with bivariate data, a key goal of middle-grades statistics curricula, is aided by a sequence of lessons. ",0,Working with Noise in Bivariate Data
1,Working with Noise in Bivariate Data,WORKING WITH no,1,Working with Noise in Bivariate Data
2,Working with Noise in Bivariate Data,IN   BIVARIATE DATA,2,Working with Noise in Bivariate Data
3,Working with Noise in Bivariate Data,"Matthew Jones, and  Mary Knaub ise Randall E. Groth,  ",3,Working with Noise in Bivariate Data
4,Working with Noise in Bivariate Data,IN   BIVARIATE DATA,4,Working with Noise in Bivariate Data
5,Working with Noise in Bivariate Data,"Consider the three scatterplots shown in figure 1. Each graph shows students’ test scores and the amount of time they spent studying. Looking at the graphs, approximately how long do you think one would have to study to get an 80 on each test? How long to obtain a score of 100? Now, put yourself in the position of a student who has not yet studied best-fit lines. How would you make predictions for each data set? What unique difficulties might you have with each one? ",5,Working with Noise in Bivariate Data
6,Working with Noise in Bivariate Data,"The graphs shown in figure 1 differ in the amounts and types of noise they contain. We use the word noise to refer to statistical variability.  Statistics has been characterized as “the study of noisy processes—processes that have a signature, or signal, we can detect if we look at sufficient output” (Konold and Pollatsek 2002,  p. 260). The graph shown in fi gure 1a has a more pronounced linear “signal” than the others. The fi gure 1b scatterplot has a similar amount of noise, but it also contains a different type of noise—a data point that diverges  a great deal from the otherwise linear signal portrayed by the other points. Figure 1c is the noisiest of the three, but one might still be able to discern a linear signal after a close examination. ",6,Working with Noise in Bivariate Data
7,Working with Noise in Bivariate Data,We asked a group of students ,7,Working with Noise in Bivariate Data
8,Working with Noise in Bivariate Data,Fig. 1 These data sets show the number of minutes spent studying and corresponding test scores for three different tests.,8,Working with Noise in Bivariate Data
9,Working with Noise in Bivariate Data,(a)  (b)  (c) ,9,Working with Noise in Bivariate Data
10,Working with Noise in Bivariate Data,Fig. 2 Rising eighth graders created this Spaghetti Bridges poster after their ﬁ rst summer statistics lesson.,10,Working with Noise in Bivariate Data
11,Working with Noise in Bivariate Data,Fig. 3 This data set shows the numbers of pennies held by different numbers of spaghetti strands.,11,Working with Noise in Bivariate Data
12,Working with Noise in Bivariate Data,"during a classroom research study to analyze data sets containing different amounts of noise. The four students in our group were fi nishing seventh grade and participating in summer mathematics instruction. We refer to them using the pseudonyms Rebecca, Shonice, Joseph, and DuJuan. We sought to design and test ways to prepare them for statistics in eighth grade, when they would need to discern the following: ",12,Working with Noise in Bivariate Data
