__id__,__filename__,text,,
0,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",BOOKS AND PRODUCTS,,
1,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",FROM NCTM,,
2,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","Individual NCTM members receive a 20% discount on NCTM publications. To order, visit www.nctm.org/catalog.",,
3,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",,,
4,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","Annual Perspectives in Mathematics Education: Mathematical Modeling and Modeling Mathematics, 2016",,
5,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","Christian R. Hirsch and Amy Roth McDuffie, eds., 2016. Foreword by Henry Pollak. 280 pp., $47.95 paper. ISBN 978-0-87353-973-9. Stock no. 15198. National Council of Teachers of Mathematics; http://www.nctm.org",,
6,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","This years entry in the APME series is a collection of twenty-five articles and research papers written by a group of international educators and researchers on the subject of mathematical modeling. Chapters focus on two aspects of modeling: modeling as an instructional topic in math classrooms and models as mathematical representations used to deepen understanding of concepts in the Kgrade 12 curriculum. An interesting example of a model as an instructional tool is discussed in the chapter TouchCounts: Visual, Auditory, Haptic, and Symbolic Models for Numbers and Operations (pp. 2735). Designed for young children just developing the concept of number, the Numbers World and Operations World apps associate the operations of addition and subtraction with physical actions of pinching and splitting. The actions forge such a strong physical connection to the operations that students are subsequently observed making the pinching gesture even when adding numbers without the application (p. 34).",,
7,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","The books twenty-five chapters are organized into seven sections. The articles provide many examples of modeling tasks and support for teachers who are implementing the activities in their classrooms or who wish to adapt or develop their own modeling tasks. There are discussions of pedagogical issues, such as the timing and degree of scaffolding to offer, as well as roadblocks that were encountered, such as students overreliance on contextual factors when attempting to simplify complex real-world situations. The book includes research into the development of modeling competencies in both teachers and students and ways to assess modeling.",,
8,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",I highly recommend this book as a resource for teacher educators and my fellow classroom teachers. Modeling tasks can improve student engagement and interest in learning mathematics and are an important connection between the classroom and the real world.,,
9,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",Kathy Rubendall,,
10,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",PS 18Park Terrace,,
11,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","New York, New York",,
12,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","Problem Solving in All Seasons, Grades 35",,
13,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","Kim Markworth, Jenni McCool, and Jennifer Kosiak, 2016. 223 pp., $27.95 paper. ISBN 978-0-87353-772-8. Stock no. 14809. National Council of Teachers of Mathematics; http://www.nctm.org",,
14,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","All teachers want students engaged in mathematically rich tasks in their classrooms, but who has the time and resources to develop such tasks and ensure that they meet the intended objectives of the lesson? Problem Solving in All Seasons, written for upper elementary school teachers, achieves this goal. It is organized into four chaptersFall, Winter, Spring, and Summerwith each chapter providing challenging, ready-to-implement tasks that are appropriate in that season for students to engage in problem-solving experiences. Each activity is described thoroughly, including various strategies that students might use as well as common misconceptions. Last, the authors describe ways to differentiate problems. Online components include editable handouts for each problem (definitely a teacher favorite).",,
15,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",One engaging activity is Relay Teams. A track coach is trying to put together the best relay team and has recorded the top three times for each athlete. Students compare decimals to the thousandths and can also use the idea of the mean or median to choose the best relay team. This is an open-ended task for which students will need to defend their choices and critique the reasoning of others to decide which four athletes make the best relay team.,,
16,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",This book gets a big thumbs up for providing rich tasks that teachers can pick up and implement throughout the year.,,
17,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",Crystal Marie Vesperman,,
18,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",The Prairie School,,
19,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","Racine, Wisconsin",,
20,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",FROM OTHER PUBLISHERS,,
21,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","The Call of the Primes: Surprising Patterns, Peculiar Puzzles, and Other Marvels of Mathematics",,
22,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","Owen OShea, 2016. 330 pp., $19.00 paper. ISBN 978-1-63388-148-8. Prometheus Books; http://www.prometheusbooks.com",,
23,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","In The Call of Primes: Surprising Patterns, Peculiar Puzzles, and Other Marvels of Mathematics, Owen OShea describes a number of engaging mathematical puzzles and other noteworthy recreational mathematical topics and problems (e.g., Pythagorean triples, the Monty Hall problem, square numbers, triangular numbers, and Pascals triangle). OShea provides historical as well as other background information and makes connections among the topics covered and other areas of mathematics and beyond. Although the intended audience is mathematical and nonmathematical alike, I believe the book is best suited for those who already enjoy learning about new mathematical topics or recreational mathematics or who want to learn more about the nature of the subject. OShea clearly states that he is not a mathematician, and so none of the topics is new. Moreover, he explains the mathematics in an introductory way. OShea also devotes some of the text to describing the beauty and nature of mathematics and mathematicians to the reader as well as the differences between various areas of mathematics (e.g., pure versus applied).",,
24,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","This book would be best suited for teachers or secondary students who have a beginning interest in recreational mathematics. The topics could be used in both middle and secondary mathematics classrooms as enrichment topics, in math clubs, or even as a resource for a math teachers circle.",,
25,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",Kelly McCormick,,
26,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics",University of Southern Maine,,
27,"book, product, _ software reviews (1) - National Council of Teachers of Mathematics","Portland, Maine",,
