text,__id__,__filename__,,
thanks from the editorial panel,0,mtms2011-05-570a,,
"In April 2011, Don Balka and Jane Porath completed their term as members of the MTMS Editorial Panel. Don has served on the panel for a generous five years, and Jane has dedicated her third year on the Panel to chair responsibilities. These two editors worked hard on the April 2011  Focus Issue titled “Connecting Algebra and Geometry in the Middle Grades.” Their contributions and dedication have been invaluable. ",1,mtms2011-05-570a,,
"The departments in MTMS are always well received by readers, for which much of the credit goes to the dedicated department editors. The role of editor often involves more than editing the work that comes in from outside sources; in many instances, it involves recruiting writers or even  writing the material. We wish to recognize Peggy House and Stephen P. Smith, coeditors of the popular “Cartoon Corner,” and Gwen Johnson and James Dogby, who work on “Mathematical Explorations.” We also thank Hamp  Sherard, editor of “Quick Reads,” and David Rock and Mary K. Porter, who continue to provide variety each month in the “Palette of Problems.” Edward S. Mooney and Sherry Meier shepherd the “Solve It!” and “Solve It! Student Thinking” departments; Debra Johanning is  responsible for “Informing Practice”; and Erik Tillema  contributes his time for “Math for Real.” The Editorial Panel and NCTM are grateful for their numerous contributions to MTMS.",2,mtms2011-05-570a,,
"Adabor, James K. Adamson, Karen H. Addington, Susan Adolphson, Keith Akinleye, Sheila R. Alexander, Cathleen M. Amankona, Frank O. Ameis, Jerry A. Amstelveen, Raoul Anderson, Rick Andreasen, Janet B. Andrews, Delise Anhalt, Cynthia O. Antoine, Wladina Appelbaum, Elizabeth B. Autin, Gwen Ayebo, Abraham Barnett, Joann Bartel, Anne M. Bartels, Bobbye H. Bay-Williams, Jennifer M. Beigie, Darin Bell, Joan E. Billings, Esther M. Bledsoe, Christie Bley, Nancy Boschmans, Barbara ",3,mtms2011-05-570a,,
"Boultbee, Melanie Brahier, Daniel Bright, Anita Brown, Andy Brown, Jill Budds, Sharon Buerman, Margaret Buhl, David A. Bush, Sarah B. Callahan, Kadian M. Campitelli, Maria J. Cane, Edric Cassel, Darlinda Castellan, Catherine M. Cavey, Laurie O. Cengiz, Nesrin Cermak, Kathleen M. Chang, Emily Chauvot, Jennifer Che, S. Megan Cheng, Ivan Cipoletti, Beth Clifford, Cynthia A. Clopton, Susan Coffey, Linda M. Cohen, Jessica S. Colen, Yong S. ",4,mtms2011-05-570a,,
"Coles, Lois Conaway, Betty J. Cooke, Linda Cox, Teodora Dabney, Colleen Daher, Wajeeh Damas, Rebecca L. Davenport, Linda Davila, Anna L. Dodson, Dana H. Dorgan, Karen Dougherty, Barbara J. Draper, Karen Dykema, Kevin Ebert, David L. Edwards, Pamela Ellis, Mark W. Ely, Robert Enderson, Mary C. Engelman, Jonathan Fernandes, Anthony Fernandez, Maria L. Ferreira, Linda Fielding, Sandra Firester, Mark Fisher, Carol Flores, Alfinio ",5,mtms2011-05-570a,,
"Folden, Beth E. Fosnaugh, Linda Fowler, W. Sue Francis-Poscente, Krista Frey, Patricia Frost, Janet H. Fugitt, Jamie K. Furner, Joseph M. Fuys, David Garner, Mary L. Getgood, Jackie F. Gierhart, Gregory Goldsby, Dianne S. Gonske, Teresa Gothard, Sandra H. Graf, Andrea B. Graul, LuAnn S. Gregg, Diana U. Grier, Tasha N. Griffin, Melinda R. Guerrero, Shannon M.",6,mtms2011-05-570a,,
"Hackbarth, Alan Hall, Randall F. Han, Xue Harris, Sarah J. Harrison, Lisa Hausrath, Alan R. ",7,mtms2011-05-570a,,
"Hawthorne, Stacy Hendrickson, Katie Henson, James C. Higgins, Charlene Higgins, Karen Hillen, Amy Hobbs, Linda K. Hodges, Thomas E. Holbrook, Edna Holliday, Berchie Holmes, Vicki-Lynn Howse, Tashana D. Hughes, Gerunda B. Hughes, Kevin M. Hunt, Jessica H. Jamar, Ido Jenkins, Oliver F. Johanning, Debra I. Johanson, Roger P. Johnson, Jerry Johnston, Dave Joram, Elana Jue, Brian Kaduk, Catherine Kahle, Diane Kalman, Richard Kapust, Vicki J. Karakok, Gulden Keiser, Jane M. Kelly, Ryan T. Kemmerle, Melissa Kenney, Margaret J. Kessler, Rebecca Knapp, Melinda Kolessar, Mary Lamb, John H. Lancaster, Brooke A. Landers, Mara G. Landry, Geri A.",8,mtms2011-05-570a,,
"Lannin, John K. Lappan, Glenda ",9,mtms2011-05-570a,,
