text,__id__,__filename__,,
solve it! little problems with big solutions,0,mtms2012-03-398a1,,
Sherry Bair and Edward S. Mooney ,1,mtms2012-03-398a1,,
"We encourage classroom teachers to pose this problem to your students and share their creative solutions. Please include a brief analysis of the specific strategy; examples of original students’ work or highquality digital images; and your name, the school name and address, and your e-mail address. E-mail submissions to  sherry Bair at slbair@ilstu.edu,  or send to her at Illinois State University, Campus Box 4520, Normal, IL 61790-4520, by June 1, 2012. Published  solutions will be credited.",2,mtms2012-03-398a1,,
(Solutions on page 446),3,mtms2012-03-398a1,,
Relatively Speaking,4,mtms2012-03-398a1,,
"Terry’s teacher was talking about relatively prime numbers.  The example being discussed involved 8 natural numbers  that were relatively prime to 15 and less than 15  (1, 2, 4, 7, 8, 11, 13, 14). Terry wondered: a.  How many natural numbers less than 100 were relatively  prime to 15? b.  How many natural numbers between 43 and 274 were   relatively prime to 15? c.  How could you determine how many natural numbers  were relatively prime to 15 between any pair of natural numbers, a and b?  solve it! solutions (Continued from p. 398)  a. 53   b. 125   c. Answers will vary.",5,mtms2012-03-398a1,,
NEW,6,mtms2012-03-398a1,,
CurriculumBased Activities and Resources for Preservice,7,mtms2012-03-398a1,,
Math Teachers,8,mtms2012-03-398a1,,
BY GWENDOLYN M. LLOYD AND,9,mtms2012-03-398a1,,
VANESSA R. PITTS BANNISTER,10,mtms2012-03-398a1,,
Stock #: 13993,11,mtms2012-03-398a1,,
List Price: $33.95 |  NCTM Member Price: $27.16,12,mtms2012-03-398a1,,
NEW,13,mtms2012-03-398a1,,
Smarter Together!,14,mtms2012-03-398a1,,
Collaboration and Equity in Elementary,15,mtms2012-03-398a1,,
Mathematics,16,mtms2012-03-398a1,,
"BY HELEN FEATHERSTONE,",17,mtms2012-03-398a1,,
"SANDRA CRESPO,",18,mtms2012-03-398a1,,
"LISA M. JILK, JOY A. OSLUND, AMY NOELLE PARKS",19,mtms2012-03-398a1,,
AND MARCY B. WOOD,20,mtms2012-03-398a1,,
Stock #: 13785,21,mtms2012-03-398a1,,
List Price: $36.95 |  NCTM Member Price: $29.56,22,mtms2012-03-398a1,,
NEW,23,mtms2012-03-398a1,,
Reasoning and,24,mtms2012-03-398a1,,
Sense-Making,25,mtms2012-03-398a1,,
Problems and,26,mtms2012-03-398a1,,
Activities for,27,mtms2012-03-398a1,,
Grades 5–8,28,mtms2012-03-398a1,,
EDITED BY,29,mtms2012-03-398a1,,
ELIZABETH D. PHILLIPS,30,mtms2012-03-398a1,,
AND JUDITH S.,31,mtms2012-03-398a1,,
ZAWOJEWSKI,32,mtms2012-03-398a1,,
Stock #: 13497,33,mtms2012-03-398a1,,
List Price: $35.95 |  NCTM Member Price: $28.76,34,mtms2012-03-398a1,,
NEW,35,mtms2012-03-398a1,,
Using Classroom,36,mtms2012-03-398a1,,
Assessment to,37,mtms2012-03-398a1,,
Improve Student,38,mtms2012-03-398a1,,
Learning,39,mtms2012-03-398a1,,
Math Problems,40,mtms2012-03-398a1,,
Aligned with NCTM and Common Core,41,mtms2012-03-398a1,,
State Standards,42,mtms2012-03-398a1,,
BY ANNE COLLINS,43,mtms2012-03-398a1,,
Stock #: 13593,44,mtms2012-03-398a1,,
List Price: $36.95 |  NCTM Member Price: $29.56,45,mtms2012-03-398a1,,
NEW BOOKS from NCTM,46,mtms2012-03-398a1,,
NEW TITLES in the Essential Understanding Series,47,mtms2012-03-398a1,,
"ROSE MARY ZBIEK, Series Editor",48,mtms2012-03-398a1,,
Developing,49,mtms2012-03-398a1,,
Essential,50,mtms2012-03-398a1,,
"Understanding of Expressions,",51,mtms2012-03-398a1,,
"Equations, and",52,mtms2012-03-398a1,,
Functions for,53,mtms2012-03-398a1,,
Teaching,54,mtms2012-03-398a1,,
Mathematics in Grades 6–8,55,mtms2012-03-398a1,,
"BY GWENDOLYN LLOYD,",56,mtms2012-03-398a1,,
BETH HERBEL-EISENMANN,57,mtms2012-03-398a1,,
AND JON R. STAR,58,mtms2012-03-398a1,,
Stock #: 13798,59,mtms2012-03-398a1,,
List Price: $34.95 |  NCTM Member Price: $27.96,60,mtms2012-03-398a1,,
Developing,61,mtms2012-03-398a1,,
Essential,62,mtms2012-03-398a1,,
Understanding of Mathematical,63,mtms2012-03-398a1,,
Reasoning for,64,mtms2012-03-398a1,,
Teaching,65,mtms2012-03-398a1,,
Mathematics in,66,mtms2012-03-398a1,,
Prekindergarten–,67,mtms2012-03-398a1,,
Grade 8,68,mtms2012-03-398a1,,
"BY JOHN LANNIN, AMY B. ELLIS",69,mtms2012-03-398a1,,
AND REBEKAH ELLIOT,70,mtms2012-03-398a1,,
Stock #: 13794,71,mtms2012-03-398a1,,
List Price: $30.95 |  NCTM Member Price: $24.76,72,mtms2012-03-398a1,,
More New Titles in the Series ,73,mtms2012-03-398a1,,
Developing Essential Understanding of Algebraic Thinking for Teaching,74,mtms2012-03-398a1,,
Mathematics in Grades 3–5,75,mtms2012-03-398a1,,
Stock #: 13796,76,mtms2012-03-398a1,,
List Price: $30.95 |  NCTM Member Price: $24.76,77,mtms2012-03-398a1,,
Developing Essential Understanding of Multiplication and Division for,78,mtms2012-03-398a1,,
Teaching Mathematics in Grades 3–5,79,mtms2012-03-398a1,,
Stock #: 13795,80,mtms2012-03-398a1,,
List Price: $30.95 |  NCTM Member Price: $24.76,81,mtms2012-03-398a1,,
Developing Essential Understanding of Addition and Subtraction for,82,mtms2012-03-398a1,,
Teaching Mathematics in Pre-K–Grade 2,83,mtms2012-03-398a1,,
Stock #: 13792,84,mtms2012-03-398a1,,
List Price: $30.95 |  NCTM Member Price: $24.76,85,mtms2012-03-398a1,,
NEW TITLE in the,86,mtms2012-03-398a1,,
Focus in High School,87,mtms2012-03-398a1,,
Mathematics Series,88,mtms2012-03-398a1,,
Focus in High School Mathematics:,89,mtms2012-03-398a1,,
Technology to Support Reasoning and Sense Making,90,mtms2012-03-398a1,,
BY THOMAS P. DICK,91,mtms2012-03-398a1,,
Stock #: 14287,92,mtms2012-03-398a1,,
List Price: $32.95 |  NCTM Member Price: $26.36,93,mtms2012-03-398a1,,
These and other titles available in the series also,94,mtms2012-03-398a1,,
Focus in High School Mathematics: Fostering Reasoning and Sense Making for All Students,95,mtms2012-03-398a1,,
EDITED BY MARILYN E. STRUTCHENS,96,mtms2012-03-398a1,,
AND JUDITH REED QUANDER,97,mtms2012-03-398a1,,
Stock #: 13989,98,mtms2012-03-398a1,,
List Price: $29.95 |  NCTM Member Price: $23.96,99,mtms2012-03-398a1,,
Focus in High School Mathematics:,100,mtms2012-03-398a1,,
Reasoning and Sense Making,101,mtms2012-03-398a1,,
"BY W. GARY MARTIN, JOHN CARTER, SUSAN FORSTER, ROGER HOWE, GARY KADER,",102,mtms2012-03-398a1,,
"HENRY KEPNER JUDITH REED QUANDER, WILLIAM MCCALLUM, ERIC ROBINSON, VINCENT SNIPES AND PATRICIA VALDEZ",103,mtms2012-03-398a1,,
Stock #: 13494,104,mtms2012-03-398a1,,
List Price: $36.95  |  NCTM Member Price: $29.56,105,mtms2012-03-398a1,,
Visit www.nctm.org/catalog for tables of content and sample pages.,106,mtms2012-03-398a1,,
"For more information or to place an order,  please call (800) 235-7566 or visit www.nctm.org/catalog.",107,mtms2012-03-398a1,,
