text,__id__,__filename__,,
informing practice research matters for teachers,0,mtms2012-12-262A,,
Model-Eliciting Activities for Teaching Mathematics ,1,mtms2012-12-262A,,
Jonathan D. Bostic,2,mtms2012-12-262A,,
"Problem solving can be taught in three distinct ways: Teaching about, teaching for, and teaching through problem solving (Schroeder and Lester 1989). Teaching about problem solving explores instruction focused on the processes used and strategies chosen, such as working backward or solving a simpler problem. Teaching for problem solving refers to the use of knowledge in application. Textbooks that employ this approach typically contain several numerical exercises followed by word problems where the skill is applied. This format may foster the perception that mathematics and problem solving are separate (Grischenko 2009). Teaching through problem solving typically begins with a concrete problem, sometimes characterized as a rich task. A rich task embodies one or more mathematics concepts, has the potential to engage students in complex forms of reasoning, and positions students to make sense of the problem’s contextual situation and the underlying mathematical concepts and procedures. As  students share their ideas for solving the problem, the teacher scaffolds students’ learning through questioning and discussion. As students participate in classroom discussions, they are articulating relevant mathematical concepts and skills.",3,mtms2012-12-262A,,
"A model-eliciting activity (MEA)  is one type of rich task that can be used to teach through problem solving. Like other rich tasks, MEAs embody one or more mathematical concepts and have the potential to engage students in complex forms of reasoning. Rich tasks typically involve scenarios that both motivate and interest students. They are open tasks, which means that they may be solved in multiple ways. These specialized tasks encompass these components, but, in addition, they have the distinct aim of promoting modeling.",4,mtms2012-12-262A,,
What is Modeling?,5,mtms2012-12-262A,,
The Common Core State Standards for Mathematics (CCSSM) have outlined eight Mathematical Practices ,6,mtms2012-12-262A,,
"Edited by debra i. Johanning, debra .johanning@utoledo.edu, and amy ellis, aellis1@education.wisc.edu. Readers are encouraged to submit manuscripts through http://mtms.msubmit.net. ",7,mtms2012-12-262A,,
"Copyright © 2012 The National Council of Teachers of Mathematics, Inc. www.nctm.org. All rights reserved. This material may not be copied or distributed electronically or in any other format without written permission from NCTM. ",8,mtms2012-12-262A,,
Fig. 1 This MEA is in the context of the real-life scenario of air travel and potential delays.,9,mtms2012-12-262A,,
dePaRting on tiMe,10,mtms2012-12-262A,,
Background Information,11,mtms2012-12-262A,,
"In June, the Chicago Spanish Club is going on a study-abroad trip to Venezuela. It has hired your team to help them select which airline to fly. Last year, the club had a miserable experience when traveling to Barcelona. The connecting flight to Reykjavik, Iceland, was late, so the group missed its next flight to Barcelona. The entire class had to spend the night in the airport. Club members have identified five  airlines with economical fares that fly from O’Hare International Airport to Venezuela, but they are still in the process of identifying more airlines that fly to their destination. Most of the flights have a connecting flight in Mexico City. They are hoping to find the airline that has the smallest chance of departing late from O’Hare so that they are less likely to arrive late in Mexico City. They do not want to miss their one connecting flight to Venezuela this year.",12,mtms2012-12-262A,,
Task,13,mtms2012-12-262A,,
"To the right is information about departure times for flights on the five airlines that the Spanish Club has identified thus far. The departure times refer to flights leaving from O’Hare and scheduled to arrive in Mexico City. Rank the five airlines in terms of most likely to be on time to least likely to be on time. As you rank the airlines, keep track of your process. Describe your process in a letter to the Spanish Club so that trip organizers can use a similar process to rank the additional airlines that they may identify at a later time.  number of Minutes late for Flights departing from o’hare airport sky Voyage   central american  airline airlines",14,mtms2012-12-262A,,
"Mexico express sudamerica internacional southeast   airline 20 15 40 60 123 15 14 20 15 16 15 10 10 25 20 15 11 12 30 10 10 25 125 10 10 10 10 10 12 10 13 10 25 35 10 55 17 65 75 40 25 10 30 12 10 27 11 30 40 15 that should be incorporated with the teaching of content. One practice, modeling with mathematics, focuses on developing the capacity to use math to solve complex problems arising in everyday life. Modeling requires making sense of a problem situation and creating useful mathematical representations for it. CCSSM describes what instruction should work toward  and what students should be expected to do:",15,mtms2012-12-262A,,
"They are able to identify important quantities in a practical situation and map their relationships using such tools as diagrams, two-way tables, graphs, flowcharts and formulas. They can analyze those relationships mathematically to draw  conclusions. They routinely interpret their  mathematical results in the context of the situation and reflect on whether the results make sense, possibly improving the model if it has not served its purpose. (CCSSI 2010, p. 7) ",16,mtms2012-12-262A,,
This description alludes to features that would be present in the design of ,17,mtms2012-12-262A,,
Fig. 2 The teacher wrote this Pizza MEA using students’ interest as a context and using curricular goals to develop content.,18,mtms2012-12-262A,,
diRections,19,mtms2012-12-262A,,
"Use your knowledge of ratios, rates, unit rates, data representations, and data analysis to answer the questions below. Please show all your work for every problem-solving step. Create a math model, and use a strategy to find the result for each question. Carry out your work here, and use the back of the paper, if needed. Answer all questions in complete sentences that fully justify and explain your solution. ",20,mtms2012-12-262A,,
"The city of Southernville has many places to purchase a pizza. Jeremy decides to create a website to provide residents with information that may help them decide where to purchase their pizza. The following data provide the cost of a cheese pizza, a pepperoni pizza, a large pizza with five toppings, the diameter of a large pizza, and the number of slices on a large pizza.",21,mtms2012-12-262A,,
Pizza ,22,mtms2012-12-262A,,
Restaurant no. of slices in  diameter of large  large Pizza,23,mtms2012-12-262A,,
Pizza (in.) cost of large cheese Pizza ($) cost of large   cost of large Pizza with ,24,mtms2012-12-262A,,
Pepperoni Pizza ($) 5 toppings ($),25,mtms2012-12-262A,,
Pizza Hut™,26,mtms2012-12-262A,,
Papa Johns®,27,mtms2012-12-262A,,
Domino’s®,28,mtms2012-12-262A,,
Five Star,29,mtms2012-12-262A,,
Leonardo’s,30,mtms2012-12-262A,,
Hungry Howie’s®,31,mtms2012-12-262A,,
Pizza Vito 14 14 14 14 14 14 14 10.00 8.99 9.99 8.99 8.75 10.55 10.95 10.00 9.99 7.99 10.49 10.95 12.95 12.70 10.00 12.99 15.06 12.99 16.50 16.05 19.95 1.  Create a data representation that Jeremy might display on his website to help customers decide on which pizza to buy from a  restaurant.  2.  Write a letter describing the best value for a pizza that your family might be interested in purchasing. Write in a way that a sixth- grade student might understand. ,32,mtms2012-12-262A,,
"Check your work with one other person. If he or she has written something different, write it in pen near your answer because we will discuss these items later.",33,mtms2012-12-262A,,
an MEA. It also implies what instruction would involve when modeling is an instructional goal. ,34,mtms2012-12-262A,,
"The MEA shown in figure 1,  called Departing on Time, asks students to rank airlines on the basis of their departure time. The first feature of MEAs is an expectation that problem solvers should develop an initial model that draws on some of the data. This initial model identifies important quantities and characterizes possible relations between them. For example, one model might be a bar graph displaying the largest and smallest amount of delay for each airline.",35,mtms2012-12-262A,,
"A second feature of MEAs is that there are several viable models. This example activity could be solved using models that deal with different features within the data. Each model highlights unique mathematical elements, operations, or relationships. Students can use these distinct models to better examine mathematical relationships within the problem. For example, one student’s model might capture each airline’s average number of minutes late and the statistical range of number of minutes late.",36,mtms2012-12-262A,,
"A third feature of MEAs is that  students are expected to translate between mathematical representations (e.g., a graph and an equation, text and a diagram, as well as a table and a graph) to draw conclusions. Solving this activity requires working fluently with a table listing information,   sentences describing the problem,  and models ranking the airlines.",37,mtms2012-12-262A,,
"A fourth feature of MEAs is that the initial model can be improved so that it effectively captures more of the mathematical nuances within the problem’s situation. This feature encourages individuals to re-engage in modeling with mathematics and determine whether the model is sufficient. In this problem, students might initially draw a bar graph, with the mathematical average and range for each airline, and later refine the average after excluding any outliers within the data set. Teachers can press this issue by asking students whether the model could be better.  Reexamining and improving the model to fully characterize a   problem’s situation captures the essence of modeling and is highlighted in instruction using MEAs. ",38,mtms2012-12-262A,,
A fifth feature found in all MEAs  is that problem solvers are expected to communicate their results using everyday language. Describing the process of ranking the airlines pushes students to explain their thinking and further reflect on their models. The solution for this MEA includes two components: an accurate model and a description of the modeling process.  cReating Model-eliciting actiVities,39,mtms2012-12-262A,,
